GEOID,StateAbbrev,State,Year,NewDiagStateRate,NewDiagStateRateStable,NewDiagStateCase,NewDiagMaleRate,NewDiagMaleRateStable,NewDiagMaleCase,NewDiagFemaleRate,NewDiagFemaleRateStable,NewDiagFemaleCase,NewDiagBlackRate,NewDiagBlackRateStable,NewDiagBlackCase,NewDiagWhiteRate,NewDiagWhiteRateStable,NewDiagWhiteCase,NewDiagHispRate,NewDiagHispRateStable,NewDiagHispCase,NewDiagAsianRate,NewDiagAsianRateStable,NewDiagAsianCase,NewDiagAmericanNativeRate,NewDiagAmericanNativeRateStable,NewDiagAmericanNativeCase,NewDiagHawaiianNativeRate,NewDiagHawaiianNativeRateStable,NewDiagHawaiianNativeCase,NewDiagMultipleRaceRate,NewDiagMultipleRaceRateStable,NewDiagMultipleRaceCase,NewDiagAge13_24Rate,NewDiagAge13_24RateStable,NewDiagAge13_24Case,NewDiagAge25_34Rate,NewDiagAge25_34RateStable,NewDiagAge25_34Case,NewDiagAge35_44Rate,NewDiagAge35_44RateStable,NewDiagAge35_44Case,NewDiagAge45_54Rate,NewDiagAge45_54RateStable,NewDiagAge45_54Case,NewDiagAge55plusRate,NewDiagAge55plusStable,NewDiagAge55plusCase
28,MS,Mississippi,2008,22,Y,531,31,Y,359,14,Y,171,47,Y,399,6,Y,87,28,Y,14,0,N,0,19,N,2,0,N,0,193,Y,28,29,Y,154,35,Y,137,26,Y,99,26,Y,105,5,Y,35
29,MO,Missouri,2008,11,Y,555,19,Y,453,4,Y,102,51,Y,273,6,Y,236,23,Y,31,6,N,4,0,N,0,0,N,0,20,N,10,14,Y,140,20,Y,156,18,Y,140,10,Y,91,2,Y,27
30,MT,Montana,2008,3,Y,22,4,Y,17,1,N,5,27,N,1,2,Y,17,20,N,4,0,N,0,0,N,0,0,N,0,0,N,0,0,N,0,7,N,8,5,N,6,5,N,7,0,N,1
31,NE,Nebraska,2008,7,Y,98,10,Y,69,4,Y,29,59,Y,34,4,Y,53,7,N,7,0,N,0,0,N,0,0,N,0,26,N,3,4,Y,12,13,Y,28,15,Y,33,7,Y,18,1,N,6
32,NV,Nevada,2008,19,Y,403,32,Y,340,6,Y,64,65,Y,101,14,Y,175,22,Y,106,6,N,9,14,N,3,11,N,1,24,N,9,15,Y,60,28,Y,109,31,Y,118,20,Y,73,7,Y,43
33,NH,New Hampshire,2008,4,Y,44,6,Y,34,2,N,10,94,N,10,2,Y,25,24,N,6,11,N,2,0,N,0,0,N,0,12,N,1,3,N,6,6,N,9,5,N,10,6,Y,14,2,N,5
34,NJ,New Jersey,2008,21,Y,1543,31,Y,1084,12,Y,459,80,Y,742,6,Y,266,39,Y,427,2,N,8,0,N,0,0,N,0,163,Y,99,17,Y,232,36,Y,395,33,Y,419,25,Y,342,7,Y,155
35,NM,New Mexico,2008,10,Y,154,17,Y,136,2,Y,18,34,N,11,6,Y,44,11,Y,79,0,N,0,14,Y,19,0,N,0,6,N,1,7,Y,25,15,Y,40,19,Y,47,11,Y,30,2,N,11
36,NY,New York,2008,31,Y,4986,47,Y,3689,15,Y,1297,93,Y,2186,9,Y,914,60,Y,1508,10,Y,105,8,N,4,0,N,0,174,Y,268,27,Y,875,49,Y,1270,50,Y,1377,34,Y,984,10,Y,480
37,NC,North Carolina,2008,24,Y,1798,36,Y,1336,12,Y,462,71,Y,1122,8,Y,436,34,Y,154,6,N,9,7,N,6,28,N,1,115,Y,69,20,Y,304,36,Y,442,37,Y,495,31,Y,405,7,Y,150
38,ND,North Dakota,2008,2,Y,13,5,Y,12,0,N,1,42,N,2,2,N,9,0,N,0,0,N,0,0,N,0,0,N,0,45,N,2,0,N,0,3,N,2,11,N,8,1,N,1,1,N,2
39,OH,Ohio,2008,11,Y,1076,19,Y,855,5,Y,221,47,Y,506,6,Y,459,32,Y,71,4,N,6,10,N,2,0,N,0,37,Y,32,12,Y,234,19,Y,281,19,Y,300,11,Y,199,2,Y,63
40,OK,Oklahoma,2008,10,Y,293,17,Y,243,3,Y,50,32,Y,70,7,Y,150,19,Y,37,12,N,6,6,Y,14,43,N,1,15,Y,15,10,Y,63,17,Y,84,17,Y,80,9,Y,44,3,Y,22
41,OR,Oregon,2008,9,Y,289,16,Y,242,3,Y,47,57,Y,29,7,Y,188,19,Y,52,9,N,10,8,N,3,13,N,1,9,N,5,6,Y,36,19,Y,100,15,Y,76,9,Y,48,3,Y,29
42,PA,Pennsylvania,2008,17,Y,1826,26,Y,1304,10,Y,521,90,Y,942,5,Y,467,69,Y,307,6,Y,14,7,N,1,0,N,0,133,Y,95,16,Y,319,27,Y,401,29,Y,489,22,Y,430,6,Y,187
44,RI,Rhode Island,2008,14,Y,123,18,Y,79,10,Y,44,77,Y,32,7,Y,47,44,Y,40,0,N,0,0,N,0,0,N,0,34,N,3,8,Y,15,22,Y,29,27,Y,39,17,Y,28,4,N,11
45,SC,South Carolina,2008,19,Y,715,28,Y,504,11,Y,211,49,Y,501,6,Y,153,34,Y,44,2,N,1,15,N,2,0,N,0,49,Y,13,22,Y,162,32,Y,189,27,Y,167,19,Y,124,6,Y,73
46,SD,South Dakota,2008,5,Y,31,7,Y,24,2,N,7,139,N,8,2,Y,13,0,N,0,20,N,1,17,N,8,0,N,0,15,N,1,1,N,2,12,Y,12,10,N,9,5,N,6,1,N,2
47,TN,Tennessee,2008,19,Y,1000,29,Y,725,10,Y,275,78,Y,637,7,Y,280,33,Y,53,8,N,5,7,N,1,0,N,0,58,Y,23,22,Y,220,34,Y,288,29,Y,251,19,Y,175,4,Y,67
48,TX,Texas,2008,22,Y,4207,34,Y,3263,10,Y,944,76,Y,1687,10,Y,983,21,Y,1350,7,Y,43,3,N,2,16,N,2,87,Y,140,20,Y,863,36,Y,1270,33,Y,1119,21,Y,681,6,Y,274
49,UT,Utah,2008,6,Y,126,10,Y,109,2,Y,17,49,N,9,5,Y,92,11,Y,23,2,N,1,0,N,0,7,N,1,0,N,0,3,Y,17,10,Y,42,11,Y,34,8,Y,23,2,N,9
50,VT,Vermont,2008,3,Y,16,5,Y,14,1,N,2,26,N,1,3,Y,15,0,N,0,0,N,0,0,N,0,0,N,0,0,N,0,1,N,1,12,N,8,4,N,3,2,N,2,1,N,2
51,VA,Virginia,2008,17,Y,1109,27,Y,836,8,Y,273,57,Y,704,6,Y,265,26,Y,101,4,Y,13,0,N,0,0,N,0,35,Y,26,18,Y,238,27,Y,287,25,Y,278,19,Y,213,5,Y,94
53,WA,Washington,2008,10,Y,535,17,Y,446,3,Y,90,53,Y,95,7,Y,285,22,Y,97,7,Y,27,16,Y,12,0,N,0,16,Y,19,7,Y,79,17,Y,156,18,Y,160,9,Y,87,3,Y,53
54,WV,West Virginia,2008,5,Y,84,9,Y,70,2,Y,14,32,Y,16,4,Y,60,19,N,3,0,N,0,0,N,0,0,N,0,47,N,5,5,Y,14,8,Y,17,13,Y,30,6,Y,17,1,N,5
55,WI,Wisconsin,2008,5,Y,241,8,Y,187,2,Y,53,40,Y,102,2,Y,93,17,Y,33,7,N,6,3,N,1,0,N,0,17,N,6,6,Y,62,10,Y,69,8,Y,57,4,Y,38,1,Y,15
56,WY,Wyoming,2008,5,Y,23,7,Y,16,3,N,7,102,N,4,4,Y,15,14,N,4,0,N,0,0,N,0,0,N,0,0,N,0,4,N,4,10,N,7,9,N,6,5,N,4,2,N,2
72,PR,Puerto Rico,2008,30,Y,966,44,Y,687,16,Y,279,-9,-,2,-9,-,1,-9,-,963,-9,-,0,-9,-,0,-9,-,0,-9,-,0,16,Y,107,42,Y,231,54,Y,284,43,Y,218,13,Y,125
1,AL,Alabama,2009,18,Y,708,29,Y,538,8,Y,170,50,Y,497,6,Y,157,16,Y,16,8,N,3,5,N,1,0,N,0,109,Y,34,26,Y,200,31,Y,195,22,Y,136,18,Y,118,5,Y,59
2,AK,Alaska,2009,4,Y,21,4,Y,12,3,N,9,20,N,4,2,N,6,3,N,1,7,N,2,8,N,6,0,N,0,10,N,2,2,N,3,7,N,7,7,N,6,3,N,3,2,N,2
4,AZ,Arizona,2009,12,Y,652,22,Y,572,3,Y,80,36,Y,68,9,Y,278,17,Y,247,6,N,8,18,Y,37,43,N,3,17,N,10,9,Y,98,20,Y,188,23,Y,198,14,Y,123,3,Y,45
5,AR,Arkansas,2009,11,Y,263,18,Y,210,4,Y,52,35,Y,124,5,Y,95,28,Y,32,4,N,1,0,N,0,0,N,0,41,N,10,13,Y,60,19,Y,75,22,Y,81,8,Y,33,2,Y,14
6,CA,California,2009,18,Y,5544,32,Y,4867,5,Y,677,58,Y,1073,14,Y,1886,21,Y,2151,6,Y,247,12,Y,19,29,Y,30,26,Y,137,13,Y,823,32,Y,1712,29,Y,1530,20,Y,1044,6,Y,436
8,CO,Colorado,2009,9,Y,384,16,Y,333,3,Y,51,38,Y,60,6,Y,193,16,Y,115,8,N,8,10,N,3,24,N,1,8,N,4,8,Y,63,18,Y,130,13,Y,92,9,Y,67,3,Y,32
9,CT,Connecticut,2009,12,Y,357,19,Y,267,6,Y,90,57,Y,152,5,Y,106,27,Y,87,6,N,6,0,N,0,0,N,0,22,N,6,10,Y,60,16,Y,65,23,Y,114,15,Y,84,4,Y,34
10,DE,Delaware,2009,21,Y,157,33,Y,115,11,Y,41,66,Y,97,9,Y,43,32,Y,14,0,N,0,0,N,0,0,N,0,29,N,2,27,Y,38,27,Y,31,29,Y,34,30,Y,39,6,Y,13
11,DC,Washington DC,2009,182,Y,937,273,Y,655,102,Y,282,273,Y,731,61,Y,110,138,Y,58,13,N,2,150,N,2,582,N,2,535,Y,32,130,Y,133,189,Y,213,291,Y,248,291,Y,229,84,Y,114
12,FL,Florida,2009,34,Y,5257,51,Y,3866,17,Y,1390,117,Y,2599,14,Y,1380,37,Y,1163,8,Y,27,4,N,2,44,N,4,57,Y,81,32,Y,887,51,Y,1193,56,Y,1369,45,Y,1200,11,Y,607
13,GA,Georgia,2009,38,Y,2976,59,Y,2265,18,Y,710,93,Y,2173,11,Y,506,32,Y,180,4,N,10,0,N,0,0,N,0,153,Y,108,40,Y,664,58,Y,804,51,Y,737,40,Y,552,11,Y,218
15,HI,Hawaii,2009,9,Y,100,15,Y,81,4,Y,19,43,Y,12,15,Y,42,10,N,8,4,Y,19,0,N,0,11,N,10,5,N,8,8,Y,15,13,Y,24,15,Y,25,14,Y,25,3,N,10
16,ID,Idaho,2009,4,Y,50,7,Y,45,1,N,4,0,N,0,4,Y,43,5,N,5,0,N,0,0,N,0,0,N,0,7,N,1,3,N,7,7,Y,15,8,Y,15,4,N,9,1,N,3
17,IL,Illinois,2009,17,Y,1846,28,Y,1443,7,Y,403,64,Y,961,6,Y,426,23,Y,331,4,Y,20,33,N,6,27,N,1,116,Y,102,20,Y,435,28,Y,492,26,Y,453,18,Y,335,4,Y,130
18,IN,Indiana,2009,9,Y,474,14,Y,368,4,Y,106,42,Y,190,5,Y,222,17,Y,41,4,N,3,0,N,0,0,N,0,40,Y,17,11,Y,115,16,Y,131,14,Y,117,8,Y,71,3,Y,39
19,IA,Iowa,2009,5,Y,123,8,Y,102,2,Y,21,28,Y,16,4,Y,85,8,N,7,16,N,6,13,N,1,0,N,0,46,N,8,4,Y,22,10,Y,37,10,Y,35,3,Y,15,2,Y,13
20,KS,Kansas,2009,7,Y,154,10,Y,114,3,Y,39,34,Y,45,3,Y,63,16,Y,29,8,N,4,0,N,0,0,N,0,45,Y,13,6,Y,30,13,Y,46,10,Y,35,7,Y,27,2,Y,14
21,KY,Kentucky,2009,10,Y,351,16,Y,284,4,Y,67,41,Y,109,7,Y,207,28,Y,22,3,N,1,0,N,0,0,N,0,41,N,11,9,Y,65,17,Y,100,15,Y,88,12,Y,76,2,Y,22
22,LA,Louisiana,2009,33,Y,1206,46,Y,807,21,Y,399,80,Y,901,9,Y,216,52,Y,65,10,N,5,24,N,5,87,N,1,48,Y,13,35,Y,278,59,Y,369,44,Y,245,35,Y,226,8,Y,88
23,ME,Maine,2009,5,Y,55,7,Y,40,2,Y,14,115,N,11,4,Y,38,15,N,2,0,N,0,16,N,1,0,N,0,24,N,2,5,N,10,9,Y,13,9,Y,15,4,N,8,2,N,8
24,MD,Maryland,2009,40,Y,1872,54,Y,1232,26,Y,640,105,Y,1425,9,Y,246,35,Y,105,3,N,8,17,N,2,44,N,1,161,Y,84,37,Y,345,57,Y,430,59,Y,475,50,Y,445,13,Y,176
25,MA,Massachusetts,2009,13,Y,738,21,Y,564,6,Y,174,74,Y,235,6,Y,285,43,Y,187,6,Y,16,0,N,0,46,N,1,27,Y,14,8,Y,85,20,Y,174,23,Y,211,18,Y,190,5,Y,79
26,MI,Michigan,2009,10,Y,820,16,Y,658,4,Y,163,46,Y,521,4,Y,230,12,Y,35,3,N,6,0,N,0,0,N,0,29,Y,27,13,Y,226,18,Y,212,14,Y,183,9,Y,139,2,Y,60
27,MN,Minnesota,2009,9,Y,388,14,Y,311,4,Y,77,73,Y,129,5,Y,191,27,Y,40,5,N,7,16,N,7,48,N,1,27,Y,12,11,Y,98,17,Y,116,13,Y,87,8,Y,65,2,Y,22
28,MS,Mississippi,2009,21,Y,509,31,Y,360,12,Y,149,46,Y,396,5,Y,76,34,Y,18,0,N,0,0,N,0,0,N,0,119,Y,18,27,Y,143,34,Y,133,28,Y,102,22,Y,89,6,Y,41
29,MO,Missouri,2009,11,Y,529,18,Y,438,4,Y,91,52,Y,280,5,Y,205,19,Y,26,4,N,3,0,N,0,0,N,0,29,Y,15,14,Y,144,19,Y,152,16,Y,124,9,Y,82,2,Y,27
30,MT,Montana,2009,4,Y,32,7,Y,30,1,N,2,25,N,1,4,Y,26,9,N,2,0,N,0,4,N,2,0,N,0,9,N,1,4,N,6,12,Y,14,4,N,4,3,N,5,1,N,3
31,NE,Nebraska,2009,7,Y,109,10,Y,73,5,Y,36,54,Y,32,4,Y,49,20,Y,20,13,N,3,0,N,0,0,N,0,33,N,4,8,Y,24,14,Y,32,14,Y,31,7,Y,18,1,N,3
32,NV,Nevada,2009,18,Y,374,29,Y,314,6,Y,60,66,Y,104,10,Y,130,21,Y,105,13,Y,19,27,N,6,0,N,0,23,N,9,16,Y,67,33,Y,128,23,Y,85,20,Y,71,4,Y,23
33,NH,New Hampshire,2009,4,Y,41,6,Y,32,2,N,9,45,N,5,3,Y,30,15,N,4,0,N,0,0,N,0,0,N,0,23,N,2,1,N,3,9,Y,13,7,Y,12,3,N,7,2,N,6
34,NJ,New Jersey,2009,21,Y,1516,31,Y,1093,11,Y,422,74,Y,690,6,Y,250,39,Y,438,4,Y,23,0,N,0,0,N,0,181,Y,114,17,Y,232,33,Y,371,31,Y,387,26,Y,353,8,Y,172
35,NM,New Mexico,2009,10,Y,165,17,Y,135,4,Y,30,33,N,11,6,Y,45,12,Y,82,0,N,0,16,Y,22,0,N,0,28,N,5,7,Y,22,17,Y,47,19,Y,47,11,Y,30,4,Y,18
36,NY,New York,2009,28,Y,4545,43,Y,3376,14,Y,1169,84,Y,1975,9,Y,857,54,Y,1374,9,Y,99,4,N,2,14,N,1,149,Y,237,25,Y,810,45,Y,1195,44,Y,1200,31,Y,902,9,Y,437
37,NC,North Carolina,2009,21,Y,1639,33,Y,1220,11,Y,419,66,Y,1057,7,Y,378,28,Y,133,6,N,9,10,N,8,0,N,0,86,Y,54,21,Y,331,30,Y,368,31,Y,403,29,Y,391,6,Y,146
38,ND,North Dakota,2009,3,Y,15,5,Y,14,0,N,1,39,N,2,1,N,7,20,N,2,0,N,0,4,N,1,0,N,0,65,N,3,2,N,2,4,N,3,9,N,6,5,N,4,0,N,0
39,OH,Ohio,2009,11,Y,1059,18,Y,833,5,Y,226,47,Y,509,6,Y,441,25,Y,58,2,N,3,0,N,0,0,N,0,54,Y,48,14,Y,271,19,Y,282,17,Y,252,10,Y,173,3,Y,82
40,OK,Oklahoma,2009,10,Y,308,17,Y,252,4,Y,56,41,Y,92,7,Y,144,21,Y,43,8,N,4,6,Y,13,0,N,0,11,N,11,12,Y,73,18,Y,90,19,Y,87,8,Y,41,2,Y,17
41,OR,Oregon,2009,8,Y,253,14,Y,227,2,Y,26,27,Y,14,7,Y,173,17,Y,48,7,N,8,9,N,3,0,N,0,12,N,7,5,Y,29,16,Y,85,14,Y,69,9,Y,50,2,Y,21
42,PA,Pennsylvania,2009,16,Y,1705,25,Y,1260,8,Y,445,76,Y,803,5,Y,451,77,Y,356,5,Y,12,13,N,2,105,N,3,107,Y,79,17,Y,347,26,Y,396,27,Y,451,18,Y,355,5,Y,156
44,RI,Rhode Island,2009,14,Y,121,22,Y,93,6,Y,28,55,Y,23,6,Y,40,55,Y,52,18,N,4,0,N,0,0,N,0,23,N,2,13,Y,23,17,Y,22,24,Y,34,18,Y,29,4,Y,12
45,SC,South Carolina,2009,21,Y,779,33,Y,602,9,Y,177,53,Y,540,8,Y,188,27,Y,37,4,N,2,0,N,0,0,N,0,40,N,11,24,Y,181,33,Y,195,29,Y,177,24,Y,153,6,Y,74
46,SD,South Dakota,2009,3,Y,22,5,Y,16,2,N,6,79,N,5,2,Y,13,0,N,0,0,N,0,9,N,4,0,N,0,0,N,0,0,N,0,4,N,4,8,N,7,7,N,8,1,N,3
47,TN,Tennessee,2009,18,Y,931,27,Y,684,9,Y,247,70,Y,580,7,Y,271,28,Y,49,6,N,4,7,N,1,48,N,1,63,Y,26,21,Y,205,28,Y,241,27,Y,232,18,Y,164,6,Y,89
48,TX,Texas,2009,23,Y,4416,35,Y,3447,10,Y,969,78,Y,1746,10,Y,947,23,Y,1498,6,Y,40,0,N,0,7,N,1,109,Y,184,23,Y,994,37,Y,1338,32,Y,1085,21,Y,682,6,Y,317
49,UT,Utah,2009,6,Y,123,10,Y,109,1,Y,14,52,N,10,4,Y,73,13,Y,29,14,N,6,0,N,0,0,N,0,22,N,5,3,Y,17,10,Y,42,10,Y,34,6,Y,20,2,N,9
50,VT,Vermont,2009,3,Y,16,5,Y,13,1,N,3,25,N,1,3,Y,14,14,N,1,0,N,0,0,N,0,0,N,0,0,N,0,6,N,6,2,N,1,8,N,6,1,N,1,1,N,2
51,VA,Virginia,2009,16,Y,1022,25,Y,798,7,Y,224,50,Y,621,6,Y,256,23,Y,93,5,Y,17,6,N,1,0,N,0,45,Y,34,18,Y,233,23,Y,245,22,Y,243,18,Y,205,5,Y,96
53,WA,Washington,2009,10,Y,539,17,Y,459,3,Y,81,44,Y,82,8,Y,321,18,Y,85,7,Y,25,7,N,5,9,N,2,16,Y,19,8,Y,83,17,Y,157,16,Y,145,11,Y,111,3,Y,43
54,WV,West Virginia,2009,5,Y,82,8,Y,63,2,Y,19,43,Y,22,4,Y,56,12,N,2,0,N,0,0,N,0,0,N,0,18,N,2,4,N,11,10,Y,23,10,Y,24,6,Y,15,2,N,8
55,WI,Wisconsin,2009,6,Y,284,9,Y,219,3,Y,65,41,Y,105,3,Y,119,19,Y,39,9,N,8,0,N,0,69,N,1,30,N,11,7,Y,66,11,Y,79,10,Y,76,5,Y,45,1,Y,19
56,WY,Wyoming,2009,5,Y,20,8,Y,17,1,N,3,0,N,0,4,Y,16,10,N,3,0,N,0,11,N,1,0,N,0,0,N,0,4,N,4,8,N,6,6,N,4,4,N,3,2,N,3
72,PR,Puerto Rico,2009,26,Y,870,40,Y,626,14,Y,244,-9,-,1,-9,-,1,-9,-,868,-9,-,0,-9,-,0,-9,-,0,-9,-,0,15,Y,102,40,Y,224,48,Y,251,36,Y,182,11,Y,110
1,AL,Alabama,2010,18,Y,704,27,Y,514,9,Y,191,49,Y,495,6,Y,155,15,Y,20,0,N,0,0,N,0,0,N,0,92,Y,34,24,Y,190,30,Y,183,25,Y,156,16,Y,109,5,Y,66
2,AK,Alaska,2010,7,Y,38,9,Y,27,4,N,10,28,N,5,4,Y,14,18,N,5,3,N,1,14,N,11,0,N,0,4,N,1,4,N,5,11,N,11,11,N,10,9,N,10,1,N,1
4,AZ,Arizona,2010,12,Y,630,22,Y,556,3,Y,75,29,Y,56,10,Y,306,15,Y,210,6,N,8,19,Y,38,22,N,2,16,N,11,9,Y,99,23,Y,197,20,Y,160,14,Y,119,3,Y,56
5,AR,Arkansas,2010,10,Y,238,17,Y,199,3,Y,40,30,Y,108,5,Y,97,17,Y,21,3,N,1,0,N,0,0,N,0,39,N,11,11,Y,53,19,Y,71,15,Y,55,10,Y,39,3,Y,20
6,CA,California,2010,18,Y,5385,31,Y,4750,4,Y,636,58,Y,1064,13,Y,1752,20,Y,2127,6,Y,252,14,Y,19,19,Y,21,24,Y,150,14,Y,943,30,Y,1614,26,Y,1369,19,Y,1013,5,Y,446
8,CO,Colorado,2010,10,Y,430,18,Y,371,3,Y,59,53,Y,82,8,Y,230,13,Y,97,8,N,9,11,N,3,0,N,0,13,N,8,9,Y,72,19,Y,139,14,Y,95,12,Y,87,3,Y,37
9,CT,Connecticut,2010,13,Y,401,20,Y,285,7,Y,116,54,Y,150,6,Y,135,28,Y,104,2,N,2,0,N,0,207,N,2,25,N,8,9,Y,54,22,Y,94,23,Y,113,16,Y,90,5,Y,50
