State,Year,Male,Female,Age 13-24,Age 25-34,Age 35-44,Age 45-54,Age 55+,White,Black,Hispanic,Asian,AmerInd/Alaskan,Hawaiian/Pac Islander,Multiple Race,Heterosexual,MSM,IDU,Other Transmission,Total
Maine,2009,7,2,5,9,9,4,2,4,115,15,0,16,0,24,-1,-1,-1,-1,5
Maryland,2009,54,26,37,57,59,50,13,9,105,35,3,17,44,161,-1,-1,-1,-1,40
Massachusetts,2009,21,6,8,20,23,18,5,6,74,43,6,0,46,27,-1,-1,-1,-1,13
Michigan,2009,16,4,13,18,14,9,2,4,46,12,3,0,0,29,-1,-1,-1,-1,10
Minnesota,2009,14,4,11,17,13,8,2,5,73,27,5,16,48,27,-1,-1,-1,-1,9
Mississippi,2009,31,12,27,34,28,22,6,5,46,34,0,0,0,119,-1,-1,-1,-1,21
Missouri,2009,18,4,14,19,16,9,2,5,52,19,4,0,0,29,-1,-1,-1,-1,11
Montana,2009,7,1,4,12,4,3,1,4,25,9,0,4,0,9,-1,-1,-1,-1,4
Nebraska,2009,10,5,8,14,14,7,1,4,54,20,13,0,0,33,-1,-1,-1,-1,7
Nevada,2009,29,6,16,33,23,20,4,10,66,21,13,27,0,23,-1,-1,-1,-1,18
New Hampshire,2009,6,2,1,9,7,3,2,3,45,15,0,0,0,23,-1,-1,-1,-1,4
New Jersey,2009,31,11,17,33,31,26,8,6,74,39,4,0,0,181,-1,-1,-1,-1,21
New Mexico,2009,17,4,7,17,19,11,4,6,33,12,0,16,0,28,-1,-1,-1,-1,10
New York,2009,43,14,25,45,44,31,9,9,84,54,9,4,14,149,-1,-1,-1,-1,28
North Carolina,2009,33,11,21,30,31,29,6,7,66,28,6,10,0,86,-1,-1,-1,-1,21
North Dakota,2009,5,0,2,4,9,5,0,1,39,20,0,4,0,65,-1,-1,-1,-1,3
Ohio,2009,18,5,14,19,17,10,3,6,47,25,2,0,0,54,-1,-1,-1,-1,11
Oklahoma,2009,17,4,12,18,19,8,2,7,41,21,8,6,0,11,-1,-1,-1,-1,10
Oregon,2009,14,2,5,16,14,9,2,7,27,17,7,9,0,12,-1,-1,-1,-1,8
Pennsylvania,2009,25,8,17,26,27,18,5,5,76,77,5,13,105,107,-1,-1,-1,-1,16
Rhode Island,2009,22,6,13,17,24,18,4,6,55,55,18,0,0,23,-1,-1,-1,-1,14
South Carolina,2009,33,9,24,33,29,24,6,8,53,27,4,0,0,40,-1,-1,-1,-1,21
South Dakota,2009,5,2,0,4,8,7,1,2,79,0,0,9,0,0,-1,-1,-1,-1,3
Tennessee,2009,27,9,21,28,27,18,6,7,70,28,6,7,48,63,-1,-1,-1,-1,18
Texas,2009,35,10,23,37,32,21,6,10,78,23,6,0,7,109,-1,-1,-1,-1,23
Utah,2009,10,1,3,10,10,6,2,4,52,13,14,0,0,22,-1,-1,-1,-1,6
Vermont,2009,5,1,6,2,8,1,1,3,25,14,0,0,0,0,-1,-1,-1,-1,3
Virginia,2009,25,7,18,23,22,18,5,6,50,23,5,6,0,45,-1,-1,-1,-1,16
Washington,2009,17,3,8,17,16,11,3,8,44,18,7,7,9,16,-1,-1,-1,-1,10
West Virginia,2009,8,2,4,10,10,6,2,4,43,12,0,0,0,18,-1,-1,-1,-1,5
Wisconsin,2009,9,3,7,11,10,5,1,3,41,19,9,0,69,30,-1,-1,-1,-1,6
Wyoming,2009,8,1,4,8,6,4,2,4,0,10,0,11,0,0,-1,-1,-1,-1,5
Puerto Rico,2009,40,14,15,40,48,36,11,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,-1,26
Alabama,2010,27,9,24,30,25,16,5,6,49,15,0,0,0,92,-1,-1,-1,-1,18
Alaska,2010,9,4,4,11,11,9,1,4,28,18,3,14,0,4,-1,-1,-1,-1,7
Arizona,2010,22,3,9,23,20,14,3,10,29,15,6,19,22,16,-1,-1,-1,-1,12
Arkansas,2010,17,3,11,19,15,10,3,5,30,17,3,0,0,39,-1,-1,-1,-1,10
California,2010,31,4,14,30,26,19,5,13,58,20,6,14,19,24,-1,-1,-1,-1,18
Colorado,2010,18,3,9,19,14,12,3,8,53,13,8,11,0,13,-1,-1,-1,-1,10
Connecticut,2010,20,7,9,22,23,16,5,6,54,28,2,0,207,25,-1,-1,-1,-1,13
Delaware,2010,28,8,18,28,26,24,6,7,55,19,4,0,0,31,-1,-1,-1,-1,18
Washington DC,2010,253,89,144,186,238,248,72,56,265,126,21,84,491,222,-1,-1,-1,-1,165
Florida,2010,46,15,32,48,47,39,10,13,102,32,7,12,0,52,-1,-1,-1,-1,30
Georgia,2010,54,17,40,57,42,37,11,11,86,28,7,6,49,95,-1,-1,-1,-1,35
Hawaii,2010,16,3,8,15,12,16,3,13,35,8,6,0,15,6,-1,-1,-1,-1,9
Idaho,2010,6,2,2,5,8,6,0,3,31,3,0,14,0,6,-1,-1,-1,-1,4
Illinois,2010,28,6,19,30,24,15,4,6,61,21,5,26,38,93,-1,-1,-1,-1,17
Indiana,2010,15,4,11,17,15,8,2,5,47,15,5,0,0,34,-1,-1,-1,-1,9
Iowa,2010,8,2,4,8,8,6,1,3,37,10,9,0,0,28,-1,-1,-1,-1,5
Kansas,2010,10,2,5,13,10,6,1,3,33,9,0,0,0,33,-1,-1,-1,-1,6
Kentucky,2010,15,4,12,17,14,9,3,5,53,27,8,0,0,52,-1,-1,-1,-1,10
Louisiana,2010,44,17,38,50,40,31,8,10,73,25,10,13,78,53,-1,-1,-1,-1,30
Maine,2010,9,1,3,8,13,5,2,4,138,0,9,0,0,8,-1,-1,-1,-1,5
Maryland,2010,56,25,37,61,58,51,14,9,105,34,7,18,0,127,-1,-1,-1,-1,40
Massachusetts,2010,20,7,7,20,25,19,5,7,66,40,8,0,51,12,-1,-1,-1,-1,13
Michigan,2010,16,4,12,19,12,9,2,4,42,15,2,2,0,23,-1,-1,-1,-1,10
Minnesota,2010,12,3,9,13,11,9,1,4,57,19,4,24,0,29,-1,-1,-1,-1,8
Mississippi,2010,30,9,25,32,27,19,5,5,42,17,0,0,0,162,-1,-1,-1,-1,19
Missouri,2010,20,4,17,22,16,11,2,6,52,20,10,0,0,21,-1,-1,-1,-1,12
Montana,2010,4,1,3,4,8,1,0,2,0,5,0,2,0,7,-1,-1,-1,-1,2
Nebraska,2010,12,3,10,14,13,8,1,5,55,11,8,9,0,34,-1,-1,-1,-1,8
Nevada,2010,29,6,19,29,26,15,6,11,61,21,13,5,17,17,-1,-1,-1,-1,17
New Hampshire,2010,9,1,3,9,6,7,1,4,19,11,13,0,0,19,-1,-1,-1,-1,5
New Jersey,2010,30,10,18,32,30,21,8,5,66,39,3,10,0,125,-1,-1,-1,-1,20
New Mexico,2010,16,3,8,21,12,8,3,4,30,11,4,18,0,16,-1,-1,-1,-1,9
New York,2010,41,12,24,43,38,29,9,9,77,46,6,2,31,109,-1,-1,-1,-1,26
North Carolina,2010,29,9,22,29,23,22,7,6,58,22,6,3,23,48,-1,-1,-1,-1,19
North Dakota,2010,3,1,3,2,5,1,1,1,68,32,17,0,0,0,-1,-1,-1,-1,2
Ohio,2010,18,4,14,19,15,10,2,5,42,19,4,6,0,41,-1,-1,-1,-1,10
Oklahoma,2010,16,3,11,18,14,9,2,6,42,14,4,8,0,15,-1,-1,-1,-1,9
Oregon,2010,14,2,8,12,11,8,3,6,29,14,5,11,10,11,-1,-1,-1,-1,8
Pennsylvania,2010,22,7,16,25,22,16,4,5,69,48,5,14,83,47,-1,-1,-1,-1,14
Rhode Island,2010,22,5,9,18,28,16,5,8,60,31,8,0,0,26,-1,-1,-1,-1,13
South Carolina,2010,32,10,30,31,28,21,6,6,57,21,10,0,0,31,-1,-1,-1,-1,20
South Dakota,2010,6,4,3,11,12,4,1,2,163,13,0,10,0,0,-1,-1,-1,-1,5
Tennessee,2010,26,7,20,27,24,16,4,6,63,32,10,7,44,41,-1,-1,-1,-1,16
Texas,2010,36,10,24,37,31,22,6,10,77,22,7,0,14,101,-1,-1,-1,-1,23
Utah,2010,7,1,3,5,9,4,1,3,32,10,2,0,0,8,-1,-1,-1,-1,4
Vermont,2010,7,2,5,4,5,8,1,3,69,14,0,0,0,16,-1,-1,-1,-1,4
Virginia,2010,24,7,19,26,22,15,5,6,51,22,3,11,0,35,-1,-1,-1,-1,16
Washington,2010,18,2,7,18,17,11,3,8,39,20,6,11,3,13,-1,-1,-1,-1,10
West Virginia,2010,9,2,4,12,8,8,1,4,25,36,0,0,0,21,-1,-1,-1,-1,5
Wisconsin,2010,9,2,8,9,8,5,1,2,43,13,4,3,0,21,-1,-1,-1,-1,5
Wyoming,2010,7,1,1,12,8,2,1,2,0,25,0,0,0,19,-1,-1,-1,-1,4
Puerto Rico,2010,42,13,16,43,45,38,12,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,-1,27
Alabama,2011,28,8,25,34,21,17,4,6,48,18,4,0,0,60,-1,-1,-1,-1,18
Alaska,2011,6,3,6,6,6,3,1,2,27,13,0,9,18,0,-1,-1,-1,-1,4
Arizona,2011,19,3,9,22,18,11,3,7,39,15,10,19,0,10,-1,-1,-1,-1,11
Arkansas,2011,16,4,15,20,13,8,3,5,38,11,3,0,0,32,-1,-1,-1,-1,10
California,2011,30,4,14,30,26,19,5,12,54,20,6,13,24,22,-1,-1,-1,-1,17
Colorado,2011,16,2,8,16,13,10,3,7,32,14,5,15,0,8,-1,-1,-1,-1,9
Connecticut,2011,18,6,12,22,16,14,4,5,49,28,4,0,101,6,-1,-1,-1,-1,12
Delaware,2011,24,7,15,29,19,15,8,6,44,21,0,0,0,39,-1,-1,-1,-1,15
Washington DC,2011,206,69,124,128,197,208,64,47,211,108,36,86,0,173,-1,-1,-1,-1,133
Florida,2011,46,14,29,51,44,38,10,14,95,31,11,10,53,35,-1,-1,-1,-1,29
Georgia,2011,56,16,43,58,42,35,11,9,87,32,5,6,76,99,-1,-1,-1,-1,35
Hawaii,2011,13,2,2,12,13,12,3,11,41,6,4,0,12,6,-1,-1,-1,-1,7
Idaho,2011,5,1,2,6,6,3,1,3,29,4,0,0,0,6,-1,-1,-1,-1,3
Illinois,2011,27,6,20,27,22,17,5,6,58,22,6,20,0,113,-1,-1,-1,-1,16
Indiana,2011,16,3,12,18,13,7,2,5,45,18,3,0,0,16,-1,-1,-1,-1,9
Iowa,2011,8,2,5,9,8,5,1,3,33,15,13,0,0,23,-1,-1,-1,-1,5
Kansas,2011,10,2,7,9,10,7,1,3,32,13,4,0,0,13,-1,-1,-1,-1,6
Kentucky,2011,15,3,11,15,11,11,2,5,40,26,7,0,0,34,-1,-1,-1,-1,9
Louisiana,2011,48,19,41,58,42,34,8,10,78,48,5,9,0,36,-1,-1,-1,-1,33
Maine,2011,7,2,2,8,6,10,1,3,141,17,0,0,0,0,-1,-1,-1,-1,4
Maryland,2011,48,19,36,52,40,42,12,8,84,35,5,18,0,90,-1,-1,-1,-1,33
Massachusetts,2011,21,7,9,21,27,17,5,6,74,38,9,0,0,27,-1,-1,-1,-1,14
Michigan,2011,16,4,15,18,12,9,2,4,43,15,7,0,0,13,-1,-1,-1,-1,10
Minnesota,2011,10,4,7,13,12,7,1,4,55,14,4,7,0,25,-1,-1,-1,-1,7
Mississippi,2011,34,11,31,37,26,21,7,6,47,32,5,0,0,174,-1,-1,-1,-1,22
Missouri,2011,19,3,15,19,14,10,2,6,48,23,2,0,0,11,-1,-1,-1,-1,11
Montana,2011,4,1,1,2,6,4,1,3,0,5,0,2,0,0,-1,-1,-1,-1,3
Nebraska,2011,10,1,4,13,7,8,0,4,21,10,4,18,0,39,-1,-1,-1,-1,5
Nevada,2011,30,5,21,36,17,16,5,10,58,21,18,10,8,20,-1,-1,-1,-1,17
New Hampshire,2011,6,1,2,6,3,7,2,3,35,11,4,0,0,9,-1,-1,-1,-1,4
New Jersey,2011,27,9,16,31,24,20,7,6,63,29,2,0,0,97,-1,-1,-1,-1,18
New Mexico,2011,14,2,7,17,15,7,2,4,23,10,4,15,0,21,-1,-1,-1,-1,8
New York,2011,39,11,25,43,33,27,8,8,70,45,7,7,0,102,-1,-1,-1,-1,24
North Carolina,2011,30,8,23,28,23,23,7,6,59,18,6,14,23,73,-1,-1,-1,-1,19
North Dakota,2011,4,0,3,5,1,1,1,2,30,10,0,0,0,0,-1,-1,-1,-1,2
Ohio,2011,18,5,15,21,16,11,2,6,46,23,4,6,0,32,-1,-1,-1,-1,11
Oklahoma,2011,17,4,13,16,17,10,3,7,42,12,4,8,0,16,-1,-1,-1,-1,10
Oregon,2011,14,2,6,12,13,9,3,7,21,11,3,3,0,3,-1,-1,-1,-1,8
Pennsylvania,2011,21,6,15,21,22,15,4,5,69,38,4,0,0,33,-1,-1,-1,-1,13
Rhode Island,2011,21,3,6,24,17,17,3,8,33,20,8,0,0,67,-1,-1,-1,-1,11
South Carolina,2011,31,9,29,32,26,18,6,5,54,27,0,7,0,50,-1,-1,-1,-1,20
South Dakota,2011,4,2,1,6,4,5,2,2,24,19,0,8,0,12,-1,-1,-1,-1,3
Tennessee,2011,26,8,22,26,25,18,3,7,58,21,8,0,0,55,-1,-1,-1,-1,16
Texas,2011,35,9,24,35,28,21,6,9,68,23,9,3,0,95,-1,-1,-1,-1,21
Utah,2011,8,1,4,7,7,6,1,4,25,10,13,0,6,11,-1,-1,-1,-1,5
Vermont,2011,4,0,2,4,7,2,0,2,23,13,0,0,0,0,-1,-1,-1,-1,2
Virginia,2011,23,6,17,24,18,15,4,5,44,21,4,0,0,29,-1,-1,-1,-1,14
Washington,2011,15,2,6,15,15,10,3,7,42,15,6,7,16,10,-1,-1,-1,-1,9
West Virginia,2011,9,3,7,9,10,8,2,4,40,46,0,0,0,20,-1,-1,-1,-1,6
Wisconsin,2011,9,2,7,10,7,5,1,2,38,18,6,5,0,16,-1,-1,-1,-1,5
Wyoming,2011,6,1,1,3,3,6,4,3,25,3,0,0,0,19,-1,-1,-1,-1,3
Puerto Rico,2011,39,13,16,40,39,41,10,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,-1,25
Alabama,2012,28,7,26,32,21,15,4,6,46,12,6,0,0,71,-1,-1,-1,-1,17
Alaska,2012,6,3,4,5,8,9,1,3,20,9,9,8,0,7,-1,-1,-1,-1,5
Arizona,2012,21,3,11,22,18,15,3,8,49,15,10,22,0,16,-1,-1,-1,-1,12
Arkansas,2012,17,4,15,20,11,12,2,5,36,14,0,6,0,20,-1,-1,-1,-1,10
California,2012,30,4,15,31,23,19,4,12,49,20,7,10,16,17,-1,-1,-1,-1,17
Colorado,2012,15,3,9,18,14,9,1,6,38,15,3,18,40,8,-1,-1,-1,-1,9
Connecticut,2012,15,5,8,18,17,12,3,4,43,22,4,17,100,12,-1,-1,-1,-1,10
Delaware,2012,27,10,23,33,26,17,6,8,55,16,4,0,0,28,-1,-1,-1,-1,18
Washington DC,2012,175,61,117,131,155,142,55,47,175,111,15,83,0,193,-1,-1,-1,-1,114
Florida,2012,45,13,29,48,43,38,10,13,90,30,8,12,21,27,-1,-1,-1,-1,28
Georgia,2012,56,15,42,58,42,37,10,10,87,26,7,25,25,82,-1,-1,-1,-1,35
Hawaii,2012,13,2,4,14,11,12,3,10,0,13,4,0,12,6,-1,-1,-1,-1,8
Idaho,2012,5,1,3,5,4,3,2,3,28,4,0,0,0,6,-1,-1,-1,-1,3
Illinois,2012,29,6,21,32,21,14,5,6,60,24,5,14,0,71,-1,-1,-1,-1,17
Indiana,2012,16,3,14,18,12,8,2,5,51,18,4,0,68,26,-1,-1,-1,-1,10
Iowa,2012,8,2,4,9,8,6,1,3,37,8,8,0,0,26,-1,-1,-1,-1,5
Kansas,2012,11,2,7,13,9,7,2,4,37,13,5,5,0,16,-1,-1,-1,-1,7
Kentucky,2012,17,3,14,21,13,9,2,6,47,22,9,0,0,41,-1,-1,-1,-1,10
Louisiana,2012,40,16,36,45,36,31,8,9,68,25,11,9,0,26,-1,-1,-1,-1,28
Maine,2012,6,2,1,6,10,5,2,3,76,8,17,0,0,8,-1,-1,-1,-1,4
Maryland,2012,47,17,35,50,41,33,12,7,81,27,7,27,0,79,-1,-1,-1,-1,31
Massachusetts,2012,22,7,10,25,21,19,5,7,69,42,8,23,0,17,-1,-1,-1,-1,14
Michigan,2012,17,4,16,19,13,8,2,4,44,11,5,7,0,27,-1,-1,-1,-1,10
Minnesota,2012,12,3,7,16,10,8,2,4,56,23,2,21,60,14,-1,-1,-1,-1,7
Mississippi,2012,31,7,28,32,19,16,7,5,39,20,9,9,0,144,-1,-1,-1,-1,19
Missouri,2012,19,3,16,21,13,10,2,5,52,19,6,0,0,14,-1,-1,-1,-1,11
Montana,2012,4,1,2,5,4,5,0,2,24,9,0,5,0,14,-1,-1,-1,-1,2
Nebraska,2012,10,2,5,10,11,6,1,3,40,9,4,9,119,19,-1,-1,-1,-1,6
Nevada,2012,29,4,19,29,24,16,4,11,44,21,11,10,25,22,-1,-1,-1,-1,16
New Hampshire,2012,7,2,4,8,8,5,1,3,57,10,0,0,0,18,-1,-1,-1,-1,4
New Jersey,2012,30,10,20,35,27,23,6,6,66,34,4,0,48,101,-1,-1,-1,-1,20
New Mexico,2012,13,1,6,15,13,9,1,4,7,9,0,15,0,10,-1,-1,-1,-1,7
New York,2012,37,10,24,42,30,25,8,8,66,41,6,7,0,100,-1,-1,-1,-1,23
North Carolina,2012,26,7,19,28,19,19,6,5,50,16,6,14,22,44,-1,-1,-1,-1,16
North Dakota,2012,2,2,2,3,4,1,1,1,64,8,0,4,0,0,-1,-1,-1,-1,2
Ohio,2012,18,4,15,22,13,11,2,5,43,24,3,0,0,48,-1,-1,-1,-1,11
Oklahoma,2012,16,3,12,19,10,10,3,7,31,13,10,6,0,14,-1,-1,-1,-1,9
Oregon,2012,15,2,6,15,15,10,3,7,37,15,6,0,0,7,-1,-1,-1,-1,8
Pennsylvania,2012,21,7,15,24,20,17,4,5,71,38,7,21,82,33,-1,-1,-1,-1,14
Rhode Island,2012,14,4,3,19,18,10,3,5,33,21,0,0,0,33,-1,-1,-1,-1,9
South Carolina,2012,29,8,27,32,22,17,6,7,48,19,2,7,0,19,-1,-1,-1,-1,18
South Dakota,2012,5,3,0,3,8,12,0,2,29,0,0,20,0,0,-1,-1,-1,-1,4
Tennessee,2012,26,7,23,29,19,16,5,7,59,22,4,8,0,64,-1,-1,-1,-1,16
Texas,2012,35,8,24,38,27,20,6,9,67,23,6,1,26,79,-1,-1,-1,-1,21
Utah,2012,9,2,3,10,7,7,2,4,34,9,2,19,0,14,-1,-1,-1,-1,5
Vermont,2012,4,2,3,3,4,3,1,2,44,0,14,0,0,15,-1,-1,-1,-1,3
Virginia,2012,23,6,18,26,18,13,4,6,45,20,5,11,0,18,-1,-1,-1,-1,14
Washington,2012,15,3,7,17,15,10,2,7,45,12,7,7,22,14,-1,-1,-1,-1,9
West Virginia,2012,8,2,7,11,9,5,1,3,41,33,0,0,0,39,-1,-1,-1,-1,5
Wisconsin,2012,8,2,6,9,6,5,1,2,34,14,2,0,0,13,-1,-1,-1,-1,5
Wyoming,2012,3,0,1,1,3,0,2,1,15,3,0,11,0,0,-1,-1,-1,-1,2
Puerto Rico,2012,40,13,21,43,37,37,10,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,-1,26
Alabama,2013,27,7,24,31,19,15,5,6,45,13,4,5,118,43,-1,-1,-1,-1,16
Alaska,2013,6,2,3,9,2,2,3,2,24,6,9,5,0,4,-1,-1,-1,-1,4
Arizona,2013,24,3,14,27,20,13,3,9,55,17,4,23,10,12,-1,-1,-1,-1,13
Arkansas,2013,18,5,18,20,17,8,2,5,39,13,3,0,0,47,-1,-1,-1,-1,11
California,2013,28,3,14,29,22,17,5,11,49,19,7,14,15,17,-1,-1,-1,-1,16
Colorado,2013,13,2,7,15,11,7,2,5,33,12,7,7,0,7,-1,-1,-1,-1,8
Connecticut,2013,18,4,11,19,15,13,5,5,44,23,3,0,0,11,-1,-1,-1,-1,11
Delaware,2013,24,8,16,27,13,23,7,7,43,16,0,0,0,45,-1,-1,-1,-1,15
Washington DC,2013,152,44,97,121,108,128,39,39,150,85,19,0,444,53,-1,-1,-1,-1,95
Florida,2013,43,13,29,51,41,35,10,12,86,33,10,5,10,32,-1,-1,-1,-1,28
Georgia,2013,52,13,39,59,36,34,8,9,79,29,3,6,0,53,-1,-1,-1,-1,32
Hawaii,2013,16,1,5,14,13,14,3,10,17,15,5,34,15,5,-1,-1,-1,-1,8
Idaho,2013,4,0,1,4,3,4,0,2,26,2,0,7,0,0,-1,-1,-1,-1,2
