State,Year,Male Cases,Male Rate,Female Cases,Female Rate,Age 13-24 Cases,Age 13-24 Rate,Age 25-34 Cases,Age 25-34 Rate,Age 35-44 Cases,Age 35-44 Rate,Age 45-54 Cases,Age 45-54 Rate,Age 55+ Cases,Age 55+ Rate,White Cases,White Rate,Black Cases,Black Rate,Hispanic Cases,Hispanic Rate,American Indian/Alaska Native Cases,American Indian/Alaska Native Rate,Asian Cases,Asian Rate,Native Hawaiian/Other Pacific Islander Cases,Native Hawaiian/Other Pacific Islander Rate,Multiple Race Cases,Multiple Race Rate,Heterosexual Contact Total Cases,IDU Total Cases,MSM Cases,Other Transmission Category Total Cases,State Cases,State Rate
California,2009,4867,32,677,5,823,13,1712,32,1530,29,1044,20,436,6,1886,14,1073,58,2151,21,19,12,247,6,30,29,137,26,748,372,4073,3,5544,18
Colorado,2009,333,16,51,3,63,8,130,18,92,13,67,9,32,3,193,6,60,38,115,16,3,10,8,8,1,24,4,8,65,18,275,2,384,9
Connecticut,2009,267,19,90,6,60,10,65,16,114,23,84,15,34,4,106,5,152,57,87,27,0,0,6,6,0,0,6,22,126,56,168,1,357,12
Delaware,2009,115,33,41,11,38,27,31,27,34,29,39,30,13,6,43,9,97,66,14,32,0,0,0,0,0,0,2,29,57,23,71,0,157,21
Washington DC,2009,655,273,282,102,133,130,213,189,248,291,229,291,114,84,110,61,731,273,58,138,2,150,2,13,2,582,32,535,363,113,436,0,937,182
Florida,2009,3866,51,1390,17,887,32,1193,51,1369,56,1200,45,607,11,1380,14,2599,117,1163,37,2,4,27,8,4,44,81,57,2134,328,2655,24,5257,34
Georgia,2009,2265,59,710,18,664,40,804,58,737,51,552,40,218,11,506,11,2173,93,180,32,0,0,10,4,0,0,108,153,848,192,1844,6,2976,38
Hawaii,2009,81,15,19,4,15,8,24,13,25,15,25,14,10,3,42,15,12,43,8,10,0,0,19,4,10,11,8,5,20,6,71,0,100,9
Idaho,2009,45,7,4,1,7,3,15,7,15,8,9,4,3,1,43,4,0,0,5,5,0,0,0,0,0,0,1,7,2,5,37,0,50,4
Illinois,2009,1443,28,403,7,435,20,492,28,453,26,335,18,130,4,426,6,961,64,331,23,6,33,20,4,1,27,102,116,445,165,1158,13,1846,17
Indiana,2009,368,14,106,4,115,11,131,16,117,14,71,8,39,3,222,5,190,42,41,17,0,0,3,4,0,0,17,40,122,30,306,1,474,9
Iowa,2009,102,8,21,2,22,4,37,10,35,10,15,3,13,2,85,4,16,28,7,8,1,13,6,16,0,0,8,46,30,13,75,0,123,5
Kansas,2009,114,10,39,3,30,6,46,13,35,10,27,7,14,2,63,3,45,34,29,16,0,0,4,8,0,0,13,45,49,10,84,0,154,7
Kentucky,2009,284,16,67,4,65,9,100,17,88,15,76,12,22,2,207,7,109,41,22,28,0,0,1,3,0,0,11,41,72,29,234,1,351,10
Louisiana,2009,807,46,399,21,278,35,369,59,245,44,226,35,88,8,216,9,901,80,65,52,5,24,5,10,1,87,13,48,471,144,553,2,1206,33
Maine,2009,40,7,14,2,10,5,13,9,15,9,8,4,8,2,38,4,11,115,2,15,1,16,0,0,0,0,2,24,13,7,31,0,55,5
Maryland,2009,1232,54,640,26,345,37,430,57,475,59,445,50,176,13,246,9,1425,105,105,35,2,17,8,3,1,44,84,161,795,236,793,6,1872,40
Massachusetts,2009,564,21,174,6,85,8,174,20,211,23,190,18,79,5,285,6,235,74,187,43,0,0,16,6,1,46,14,27,203,107,396,3,738,13
Michigan,2009,658,16,163,4,226,13,212,18,183,14,139,9,60,2,230,4,521,46,35,12,0,0,6,3,0,0,27,29,186,52,553,2,820,10
Minnesota,2009,311,14,77,4,98,11,116,17,87,13,65,8,22,2,191,5,129,73,40,27,7,16,7,5,1,48,12,27,92,14,261,1,388,9
Mississippi,2009,360,31,149,12,143,27,133,34,102,28,89,22,41,6,76,5,396,46,18,34,0,0,0,0,0,0,18,119,181,33,281,2,509,21
Missouri,2009,438,18,91,4,144,14,152,19,124,16,82,9,27,2,205,5,280,52,26,19,0,0,3,4,0,0,15,29,93,26,390,1,529,11
Montana,2009,30,7,2,1,6,4,14,12,4,4,5,3,3,1,26,4,1,25,2,9,2,4,0,0,0,0,1,9,3,2,24,0,32,4
Nebraska,2009,73,10,36,5,24,8,32,14,31,14,18,7,3,1,49,4,32,54,20,20,0,0,3,13,0,0,4,33,38,9,57,1,109,7
Nevada,2009,314,29,60,6,67,16,128,33,85,23,71,20,23,4,130,10,104,66,105,21,6,27,19,13,0,0,9,23,57,24,270,0,374,18
New Hampshire,2009,32,6,9,2,3,1,13,9,12,7,7,3,6,2,30,3,5,45,4,15,0,0,0,0,0,0,2,23,-2,-2,-2,-2,41,4
New Jersey,2009,1093,31,422,11,232,17,371,33,387,31,353,26,172,8,250,6,690,74,438,39,0,0,23,4,0,0,114,181,486,290,698,1,1516,21
New Mexico,2009,135,17,30,4,22,7,47,17,47,19,30,11,18,4,45,6,11,33,82,12,22,16,0,0,0,0,5,28,31,19,99,0,165,10
New York,2009,3376,43,1169,14,810,25,1195,45,1200,44,902,31,437,9,857,9,1975,84,1374,54,2,4,99,9,1,14,237,149,1409,570,2434,6,4545,28
North Carolina,2009,1220,33,419,11,331,21,368,30,403,31,391,29,146,6,378,7,1057,66,133,28,8,10,9,6,0,0,54,86,586,103,916,5,1639,21
North Dakota,2009,14,5,1,0,2,2,3,4,6,9,4,5,0,0,7,1,2,39,2,20,1,4,0,0,0,0,3,65,3,1,9,0,15,3
Ohio,2009,833,18,226,5,271,14,282,19,252,17,173,10,82,3,441,6,509,47,58,25,0,0,3,2,0,0,48,54,284,56,690,2,1059,11
Oklahoma,2009,252,17,56,4,73,12,90,18,87,19,41,8,17,2,144,7,92,41,43,21,13,6,4,8,0,0,11,11,62,31,193,0,308,10
Oregon,2009,227,14,26,2,29,5,85,16,69,14,50,9,21,2,173,7,14,27,48,17,3,9,8,7,0,0,7,12,22,23,173,0,253,8
Pennsylvania,2009,1260,25,445,8,347,17,396,26,451,27,355,18,156,5,451,5,803,76,356,77,2,13,12,5,3,105,79,107,662,235,753,2,1705,16
Rhode Island,2009,93,22,28,6,23,13,22,17,34,24,29,18,12,4,40,6,23,55,52,55,0,0,4,18,0,0,2,23,30,17,72,0,121,14
South Carolina,2009,602,33,177,9,181,24,195,33,177,29,153,24,74,6,188,8,540,53,37,27,0,0,2,4,0,0,11,40,245,51,459,1,779,21
South Dakota,2009,16,5,6,2,0,0,4,4,7,8,8,7,3,1,13,2,5,79,0,0,4,9,0,0,0,0,0,0,6,1,12,0,22,3
Tennessee,2009,684,27,247,9,205,21,241,28,232,27,164,18,89,6,271,7,580,70,49,28,1,7,4,6,1,48,26,63,325,56,533,1,931,18
Texas,2009,3447,35,969,10,994,23,1338,37,1085,32,682,21,317,6,947,10,1746,78,1498,23,0,0,40,6,1,7,184,109,1185,352,2730,6,4416,23
Utah,2009,109,10,14,1,17,3,42,10,34,10,20,6,9,2,73,4,10,52,29,13,0,0,6,14,0,0,5,22,18,6,73,0,123,6
Vermont,2009,13,5,3,1,6,6,1,2,6,8,1,1,2,1,14,3,1,25,1,14,0,0,0,0,0,0,0,0,2,3,8,1,16,3
Virginia,2009,798,25,224,7,233,18,245,23,243,22,205,18,96,5,256,6,621,50,93,23,1,6,17,5,0,0,34,45,288,57,652,2,1022,16
Washington,2009,459,17,81,3,83,8,157,17,145,16,111,11,43,3,321,8,82,44,85,18,5,7,25,7,2,9,19,16,82,37,366,2,539,10
West Virginia,2009,63,8,19,2,11,4,23,10,24,10,15,6,8,2,56,4,22,43,2,12,0,0,0,0,0,0,2,18,25,10,44,0,82,5
Wisconsin,2009,219,9,65,3,66,7,79,11,76,10,45,5,19,1,119,3,105,41,39,19,0,0,8,9,1,69,11,30,71,26,176,1,284,6
Wyoming,2009,17,8,3,1,4,4,6,8,4,6,3,4,3,2,16,4,0,0,3,10,1,11,0,0,0,0,0,0,3,2,13,0,20,5
Puerto Rico,2009,626,40,244,14,102,15,224,40,251,48,182,36,110,11,1,-9,1,-9,868,-9,0,-9,0,-9,0,-9,0,-9,362,218,254,0,870,26
Alabama,2010,514,27,191,9,190,24,183,30,156,25,109,16,66,5,155,6,495,49,20,15,0,0,0,0,0,0,34,92,214,45,428,1,704,18
Alaska,2010,27,9,10,4,5,4,11,11,10,11,10,9,1,1,14,4,5,28,5,18,11,14,1,3,0,0,1,4,8,3,26,0,38,7
Arizona,2010,556,22,75,3,99,9,197,23,160,20,119,14,56,3,306,10,56,29,210,15,38,19,8,6,2,22,11,16,88,50,442,1,630,12
Arkansas,2010,199,17,40,3,53,11,71,19,55,15,39,10,20,3,97,5,108,30,21,17,0,0,1,3,0,0,11,39,43,21,162,0,238,10
California,2010,4750,31,636,4,943,14,1614,30,1369,26,1013,19,446,5,1752,13,1064,58,2127,20,19,14,252,6,21,19,150,24,731,373,3987,5,5385,18
Colorado,2010,371,18,59,3,72,9,139,19,95,14,87,12,37,3,230,8,82,53,97,13,3,11,9,8,0,0,8,13,89,17,291,0,430,10
Connecticut,2010,285,20,116,7,54,9,94,22,113,23,90,16,50,5,135,6,150,54,104,28,0,0,2,2,2,207,8,25,155,64,174,0,401,13
Delaware,2010,102,28,32,8,27,18,32,28,30,26,31,24,13,6,37,7,83,55,10,19,0,0,1,4,0,0,3,31,55,9,66,0,134,18
Washington DC,2010,627,253,250,89,163,144,236,186,193,238,188,248,97,72,110,56,682,265,58,126,1,84,4,21,1,491,21,222,320,85,445,0,877,165
Florida,2010,3553,46,1236,15,922,32,1108,48,1149,47,1057,39,553,10,1203,13,2350,102,1117,32,5,12,26,7,0,0,88,52,1895,273,2488,12,4789,30
Georgia,2010,2078,54,677,17,659,40,758,57,590,42,510,37,238,11,480,11,2002,86,170,28,1,6,18,7,2,49,82,95,809,170,1702,5,2756,35
Hawaii,2010,91,16,15,3,16,8,27,15,21,12,30,16,11,3,38,13,6,35,7,8,0,0,29,6,15,15,11,6,16,11,78,0,107,9
Idaho,2010,34,6,10,2,6,2,10,5,15,8,12,6,1,0,37,3,2,31,3,3,2,14,0,0,0,0,1,6,10,4,23,0,45,4
Illinois,2010,1431,28,325,6,412,19,525,30,407,24,275,15,136,4,416,6,908,61,310,21,4,26,23,5,1,38,94,93,408,144,1138,9,1755,17
Indiana,2010,388,15,99,4,118,11,139,17,123,15,78,8,30,2,207,5,217,47,42,15,0,0,4,5,0,0,18,34,126,25,316,1,487,9
Iowa,2010,95,8,19,2,21,4,30,8,28,8,27,6,7,1,70,3,24,37,10,10,0,0,4,9,0,0,6,28,27,8,69,0,115,5
Kansas,2010,117,10,21,2,26,5,50,13,33,10,25,6,4,1,65,3,43,33,19,9,0,0,0,0,0,0,12,33,32,3,93,0,139,6
Kentucky,2010,268,15,76,4,86,12,93,17,78,14,57,9,29,3,155,5,142,53,25,27,0,0,3,8,0,0,18,52,87,27,223,0,344,10
Louisiana,2010,804,44,325,17,301,38,319,50,225,40,203,31,82,8,229,10,835,73,38,25,3,13,6,10,1,78,17,53,392,116,581,2,1129,30
Maine,2010,50,9,7,1,6,3,11,8,22,13,10,5,7,2,39,4,15,138,0,0,0,0,1,9,0,0,1,8,9,4,40,1,57,5
Maryland,2010,1301,56,627,25,352,37,471,61,456,58,458,51,191,14,251,9,1444,105,121,34,2,18,18,7,0,0,92,127,775,216,888,7,1927,40
Massachusetts,2010,531,20,209,7,82,7,166,20,219,25,193,19,81,5,293,7,225,66,189,40,0,0,24,8,1,51,8,12,222,120,370,0,740,13
Michigan,2010,632,16,153,4,209,12,224,19,157,12,139,9,57,2,238,4,472,42,45,15,1,2,4,2,0,0,25,23,172,61,534,1,785,10
Minnesota,2010,266,12,75,3,81,9,96,13,75,11,74,9,15,1,161,4,113,57,33,19,10,24,7,4,0,0,16,29,86,15,222,0,341,8
Mississippi,2010,353,30,115,9,131,25,126,32,100,27,77,19,34,5,66,5,366,42,10,17,0,0,0,0,0,0,25,162,132,34,282,1,468,19
Missouri,2010,471,20,109,4,165,17,173,22,118,16,94,11,30,2,240,6,289,52,30,20,0,0,8,10,0,0,13,21,115,32,413,0,581,12
Montana,2010,17,4,3,1,5,3,5,4,9,8,1,1,0,0,17,2,0,0,1,5,1,2,0,0,0,0,1,7,3,1,15,0,20,2
Nebraska,2010,91,12,25,3,29,10,34,14,28,13,19,8,5,1,62,5,34,55,12,11,1,9,2,8,0,0,5,34,28,10,71,1,117,8
Nevada,2010,321,29,63,6,83,19,113,29,97,26,55,15,36,6,138,11,104,61,108,21,1,5,22,13,2,17,8,17,65,21,274,0,383,17
New Hampshire,2010,48,9,5,1,7,3,13,9,11,6,16,7,5,1,43,4,2,19,3,11,0,0,3,13,0,0,2,19,-2,-2,-2,-2,53,5
New Jersey,2010,1058,30,383,10,241,18,358,32,364,30,293,21,184,8,236,5,614,66,478,39,1,10,21,3,0,0,91,125,449,234,716,2,1441,20
New Mexico,2010,129,16,21,3,27,8,56,21,30,12,23,8,14,3,32,4,9,30,80,11,24,18,1,4,0,0,3,16,26,10,102,0,150,9
New York,2010,3191,41,1009,12,796,24,1135,43,974,38,838,29,456,9,852,9,1817,77,1252,46,1,2,71,6,2,31,205,109,1223,470,2382,9,4199,26
North Carolina,2010,1112,29,364,9,339,22,366,29,309,23,300,22,161,7,339,6,960,58,122,22,3,3,10,6,1,23,42,48,475,99,871,4,1476,19
North Dakota,2010,9,3,4,1,4,3,2,2,4,5,1,1,2,1,5,1,4,68,3,32,0,0,1,17,0,0,0,0,5,1,7,0,13,2
Ohio,2010,816,18,173,4,272,14,272,19,222,15,168,10,57,2,419,5,469,42,49,19,1,6,6,4,0,0,46,41,209,39,709,3,990,10
Oklahoma,2010,240,16,50,3,68,11,91,18,64,14,48,9,19,2,125,6,92,42,31,14,19,8,2,4,0,0,19,15,56,20,184,1,290,9
Oregon,2010,214,14,28,2,50,8,63,12,57,11,43,8,31,3,162,6,15,29,46,14,4,11,6,5,1,10,8,11,31,15,173,0,242,8
Pennsylvania,2010,1155,22,364,7,326,16,384,25,358,22,316,16,135,4,459,5,742,69,253,48,2,14,14,5,2,83,47,47,609,155,711,3,1519,14
Rhode Island,2010,93,22,25,5,17,9,23,18,38,28,26,16,14,5,56,8,27,60,31,31,0,0,2,8,0,0,3,26,27,13,75,0,119,13
South Carolina,2010,589,32,198,10,231,30,182,31,166,28,139,21,68,6,146,6,588,57,37,21,0,0,5,10,0,0,11,31,257,42,467,1,787,20
South Dakota,2010,20,6,12,4,4,3,11,11,11,12,5,4,1,1,13,2,12,163,2,13,5,10,0,0,0,0,0,0,15,3,13,0,32,5
Tennessee,2010,664,26,197,7,207,20,226,27,205,24,152,16,71,4,231,6,534,63,65,32,1,7,7,10,1,44,21,41,275,46,524,1,861,16
Texas,2010,3546,36,999,10,1066,24,1347,37,1065,31,753,22,313,6,935,10,1786,77,1576,22,0,0,54,7,2,14,191,101,1187,340,2841,8,4544,23
Utah,2010,70,7,13,1,16,3,20,5,30,9,12,4,4,1,50,3,6,32,24,10,0,0,1,2,0,0,2,8,11,3,51,0,83,4
Vermont,2010,18,7,4,2,5,5,3,4,4,5,8,8,2,1,17,3,3,69,1,14,0,0,0,0,0,0,1,16,6,0,15,0,23,4
Virginia,2010,792,24,256,7,252,19,283,26,247,22,176,15,89,5,260,6,636,51,104,22,2,11,9,3,0,0,37,35,311,50,662,1,1047,16
Washington,2010,486,18,68,2,75,7,168,18,157,17,107,11,46,3,316,8,74,39,108,20,8,11,26,6,1,3,19,13,80,40,399,1,553,10
West Virginia,2010,69,9,12,2,12,4,25,12,18,8,23,8,3,1,59,4,13,25,6,36,0,0,0,0,0,0,3,21,20,9,51,0,81,5
Wisconsin,2010,212,9,45,2,71,8,64,9,59,8,42,5,21,1,95,2,117,43,30,13,1,3,4,4,0,0,9,21,50,14,182,1,256,5
Wyoming,2010,16,7,3,1,1,1,9,12,5,8,2,2,2,1,9,2,0,0,9,25,0,0,0,0,0,0,1,19,4,3,11,0,19,4
Puerto Rico,2010,614,42,212,13,105,16,209,43,216,45,183,38,114,12,1,-9,0,-9,824,-9,0,-9,1,-9,0,-9,0,-9,341,161,294,1,826,27
Alabama,2011,540,28,168,8,205,25,211,34,126,21,116,17,50,4,168,6,491,48,23,18,0,0,2,4,0,0,23,60,202,29,449,2,708,18
Alaska,2011,17,6,7,3,8,6,6,6,5,6,3,3,2,1,7,2,5,27,4,13,7,9,0,0,1,18,0,0,8,4,12,0,24,4
Arizona,2011,498,19,76,3,94,9,189,22,147,18,96,11,49,3,230,7,77,39,206,15,39,19,15,10,0,0,7,10,102,62,372,0,574,11
Arkansas,2011,194,16,52,4,71,15,74,20,48,13,32,8,20,3,86,5,134,38,15,11,0,0,1,3,0,0,9,32,56,11,174,0,246,10
California,2011,4648,30,578,4,909,14,1595,30,1319,26,992,19,410,5,1639,12,995,54,2145,20,18,13,263,6,27,24,139,22,622,302,4050,3,5226,17
Colorado,2011,329,16,51,2,65,8,122,16,89,13,74,10,30,3,202,7,51,32,111,14,4,15,6,5,0,0,5,8,56,24,274,0,380,9
Connecticut,2011,267,18,92,6,67,12,96,22,76,16,80,14,40,4,107,5,138,49,107,28,0,0,4,4,1,101,2,6,119,39,196,1,359,12
Delaware,2011,87,24,29,7,23,15,33,29,21,19,19,15,19,8,32,6,69,44,11,21,0,0,0,0,0,0,4,39,40,9,63,0,116,15
Washington DC,2011,523,206,198,69,137,124,172,128,165,197,159,208,88,64,96,47,546,211,53,108,1,86,7,36,0,0,17,173,269,54,374,2,721,133
Florida,2011,3595,46,1182,14,865,29,1190,51,1068,44,1052,38,601,10,1313,14,2252,95,1096,31,4,10,44,11,5,53,62,35,1882,205,2575,21,4777,29
Georgia,2011,2159,56,649,16,729,43,778,58,576,42,486,35,240,11,421,9,2080,87,198,32,1,6,14,5,3,76,90,99,800,186,1756,9,2808,35
Hawaii,2011,74,13,12,2,5,2,24,12,23,13,22,12,11,3,32,11,8,41,5,6,0,0,17,4,12,12,11,6,17,8,54,1,86,7
Idaho,2011,31,5,6,1,5,2,12,6,12,6,5,3,2,1,29,3,2,29,5,4,0,0,0,0,0,0,1,6,5,2,29,0,37,3
Illinois,2011,1400,27,339,6,422,20,482,27,373,22,318,17,145,5,383,6,866,58,340,22,3,20,29,6,0,0,118,113,403,122,1142,11,1739,16
Indiana,2011,406,16,78,3,127,12,149,18,109,13,66,7,32,2,213,5,207,45,50,18,0,0,3,3,0,0,9,16,122,17,324,0,483,9
Iowa,2011,99,8,20,2,28,5,34,9,28,8,21,5,9,1,69,3,22,33,16,15,0,0,6,13,0,0,5,23,28,4,79,0,119,5
