State,Year,Male,Female,Age 13-24,Age 25-34,Age 35-44,Age 45-54,Age 55+,White,Black,Hispanic,Asian,AmerInd/Alaskan,Hawaiian/Pac Islander,Multiple Race,Heterosexual,MSM,IDU,Other Transmission,Total
Mississippi,2009,360,149,143,133,102,89,41,76,396,18,0,0,0,18,181,281,33,2,509
Missouri,2009,438,91,144,152,124,82,27,205,280,26,3,0,0,15,93,390,26,1,529
Montana,2009,30,2,6,14,4,5,3,26,1,2,0,2,0,1,3,24,2,0,32
Nebraska,2009,73,36,24,32,31,18,3,49,32,20,3,0,0,4,38,57,9,1,109
Nevada,2009,314,60,67,128,85,71,23,130,104,105,19,6,0,9,57,270,24,0,374
New Hampshire,2009,32,9,3,13,12,7,6,30,5,4,0,0,0,2,-2,-2,-2,-2,41
New Jersey,2009,1093,422,232,371,387,353,172,250,690,438,23,0,0,114,486,698,290,1,1516
New Mexico,2009,135,30,22,47,47,30,18,45,11,82,0,22,0,5,31,99,19,0,165
New York,2009,3376,1169,810,1195,1200,902,437,857,1975,1374,99,2,1,237,1409,2434,570,6,4545
North Carolina,2009,1220,419,331,368,403,391,146,378,1057,133,9,8,0,54,586,916,103,5,1639
North Dakota,2009,14,1,2,3,6,4,0,7,2,2,0,1,0,3,3,9,1,0,15
Ohio,2009,833,226,271,282,252,173,82,441,509,58,3,0,0,48,284,690,56,2,1059
Oklahoma,2009,252,56,73,90,87,41,17,144,92,43,4,13,0,11,62,193,31,0,308
Oregon,2009,227,26,29,85,69,50,21,173,14,48,8,3,0,7,22,173,23,0,253
Pennsylvania,2009,1260,445,347,396,451,355,156,451,803,356,12,2,3,79,662,753,235,2,1705
Rhode Island,2009,93,28,23,22,34,29,12,40,23,52,4,0,0,2,30,72,17,0,121
South Carolina,2009,602,177,181,195,177,153,74,188,540,37,2,0,0,11,245,459,51,1,779
South Dakota,2009,16,6,0,4,7,8,3,13,5,0,0,4,0,0,6,12,1,0,22
Tennessee,2009,684,247,205,241,232,164,89,271,580,49,4,1,1,26,325,533,56,1,931
Texas,2009,3447,969,994,1338,1085,682,317,947,1746,1498,40,0,1,184,1185,2730,352,6,4416
Utah,2009,109,14,17,42,34,20,9,73,10,29,6,0,0,5,18,73,6,0,123
Vermont,2009,13,3,6,1,6,1,2,14,1,1,0,0,0,0,2,8,3,1,16
Virginia,2009,798,224,233,245,243,205,96,256,621,93,17,1,0,34,288,652,57,2,1022
Washington,2009,459,81,83,157,145,111,43,321,82,85,25,5,2,19,82,366,37,2,539
West Virginia,2009,63,19,11,23,24,15,8,56,22,2,0,0,0,2,25,44,10,0,82
Wisconsin,2009,219,65,66,79,76,45,19,119,105,39,8,0,1,11,71,176,26,1,284
Wyoming,2009,17,3,4,6,4,3,3,16,0,3,0,1,0,0,3,13,2,0,20
Puerto Rico,2009,626,244,102,224,251,182,110,1,1,868,0,0,0,0,362,254,218,0,870
Alabama,2010,514,191,190,183,156,109,66,155,495,20,0,0,0,34,214,428,45,1,704
Alaska,2010,27,10,5,11,10,10,1,14,5,5,1,11,0,1,8,26,3,0,38
Arizona,2010,556,75,99,197,160,119,56,306,56,210,8,38,2,11,88,442,50,1,630
Arkansas,2010,199,40,53,71,55,39,20,97,108,21,1,0,0,11,43,162,21,0,238
California,2010,4750,636,943,1614,1369,1013,446,1752,1064,2127,252,19,21,150,731,3987,373,5,5385
Colorado,2010,371,59,72,139,95,87,37,230,82,97,9,3,0,8,89,291,17,0,430
Connecticut,2010,285,116,54,94,113,90,50,135,150,104,2,0,2,8,155,174,64,0,401
Delaware,2010,102,32,27,32,30,31,13,37,83,10,1,0,0,3,55,66,9,0,134
Washington DC,2010,627,250,163,236,193,188,97,110,682,58,4,1,1,21,320,445,85,0,877
Florida,2010,3553,1236,922,1108,1149,1057,553,1203,2350,1117,26,5,0,88,1895,2488,273,12,4789
Georgia,2010,2078,677,659,758,590,510,238,480,2002,170,18,1,2,82,809,1702,170,5,2756
Hawaii,2010,91,15,16,27,21,30,11,38,6,7,29,0,15,11,16,78,11,0,107
Idaho,2010,34,10,6,10,15,12,1,37,2,3,0,2,0,1,10,23,4,0,45
Illinois,2010,1431,325,412,525,407,275,136,416,908,310,23,4,1,94,408,1138,144,9,1755
Indiana,2010,388,99,118,139,123,78,30,207,217,42,4,0,0,18,126,316,25,1,487
Iowa,2010,95,19,21,30,28,27,7,70,24,10,4,0,0,6,27,69,8,0,115
Kansas,2010,117,21,26,50,33,25,4,65,43,19,0,0,0,12,32,93,3,0,139
Kentucky,2010,268,76,86,93,78,57,29,155,142,25,3,0,0,18,87,223,27,0,344
Louisiana,2010,804,325,301,319,225,203,82,229,835,38,6,3,1,17,392,581,116,2,1129
Maine,2010,50,7,6,11,22,10,7,39,15,0,1,0,0,1,9,40,4,1,57
Maryland,2010,1301,627,352,471,456,458,191,251,1444,121,18,2,0,92,775,888,216,7,1927
Massachusetts,2010,531,209,82,166,219,193,81,293,225,189,24,0,1,8,222,370,120,0,740
Michigan,2010,632,153,209,224,157,139,57,238,472,45,4,1,0,25,172,534,61,1,785
Minnesota,2010,266,75,81,96,75,74,15,161,113,33,7,10,0,16,86,222,15,0,341
Mississippi,2010,353,115,131,126,100,77,34,66,366,10,0,0,0,25,132,282,34,1,468
Missouri,2010,471,109,165,173,118,94,30,240,289,30,8,0,0,13,115,413,32,0,581
Montana,2010,17,3,5,5,9,1,0,17,0,1,0,1,0,1,3,15,1,0,20
Nebraska,2010,91,25,29,34,28,19,5,62,34,12,2,1,0,5,28,71,10,1,117
Nevada,2010,321,63,83,113,97,55,36,138,104,108,22,1,2,8,65,274,21,0,383
New Hampshire,2010,48,5,7,13,11,16,5,43,2,3,3,0,0,2,-2,-2,-2,-2,53
New Jersey,2010,1058,383,241,358,364,293,184,236,614,478,21,1,0,91,449,716,234,2,1441
New Mexico,2010,129,21,27,56,30,23,14,32,9,80,1,24,0,3,26,102,10,0,150
New York,2010,3191,1009,796,1135,974,838,456,852,1817,1252,71,1,2,205,1223,2382,470,9,4199
North Carolina,2010,1112,364,339,366,309,300,161,339,960,122,10,3,1,42,475,871,99,4,1476
North Dakota,2010,9,4,4,2,4,1,2,5,4,3,1,0,0,0,5,7,1,0,13
Ohio,2010,816,173,272,272,222,168,57,419,469,49,6,1,0,46,209,709,39,3,990
Oklahoma,2010,240,50,68,91,64,48,19,125,92,31,2,19,0,19,56,184,20,1,290
Oregon,2010,214,28,50,63,57,43,31,162,15,46,6,4,1,8,31,173,15,0,242
Pennsylvania,2010,1155,364,326,384,358,316,135,459,742,253,14,2,2,47,609,711,155,3,1519
Rhode Island,2010,93,25,17,23,38,26,14,56,27,31,2,0,0,3,27,75,13,0,119
South Carolina,2010,589,198,231,182,166,139,68,146,588,37,5,0,0,11,257,467,42,1,787
South Dakota,2010,20,12,4,11,11,5,1,13,12,2,0,5,0,0,15,13,3,0,32
Tennessee,2010,664,197,207,226,205,152,71,231,534,65,7,1,1,21,275,524,46,1,861
Texas,2010,3546,999,1066,1347,1065,753,313,935,1786,1576,54,0,2,191,1187,2841,340,8,4544
Utah,2010,70,13,16,20,30,12,4,50,6,24,1,0,0,2,11,51,3,0,83
Vermont,2010,18,4,5,3,4,8,2,17,3,1,0,0,0,1,6,15,0,0,23
Virginia,2010,792,256,252,283,247,176,89,260,636,104,9,2,0,37,311,662,50,1,1047
Washington,2010,486,68,75,168,157,107,46,316,74,108,26,8,1,19,80,399,40,1,553
West Virginia,2010,69,12,12,25,18,23,3,59,13,6,0,0,0,3,20,51,9,0,81
Wisconsin,2010,212,45,71,64,59,42,21,95,117,30,4,1,0,9,50,182,14,1,256
Wyoming,2010,16,3,1,9,5,2,2,9,0,9,0,0,0,1,4,11,3,0,19
Puerto Rico,2010,614,212,105,209,216,183,114,1,0,824,1,0,0,0,341,294,161,1,826
Alabama,2011,540,168,205,211,126,116,50,168,491,23,2,0,0,23,202,449,29,2,708
Alaska,2011,17,7,8,6,5,3,2,7,5,4,0,7,1,0,8,12,4,0,24
Arizona,2011,498,76,94,189,147,96,49,230,77,206,15,39,0,7,102,372,62,0,574
Arkansas,2011,194,52,71,74,48,32,20,86,134,15,1,0,0,9,56,174,11,0,246
California,2011,4648,578,909,1595,1319,992,410,1639,995,2145,263,18,27,139,622,4050,302,3,5226
Colorado,2011,329,51,65,122,89,74,30,202,51,111,6,4,0,5,56,274,24,0,380
Connecticut,2011,267,92,67,96,76,80,40,107,138,107,4,0,1,2,119,196,39,1,359
Delaware,2011,87,29,23,33,21,19,19,32,69,11,0,0,0,4,40,63,9,0,116
Washington DC,2011,523,198,137,172,165,159,88,96,546,53,7,1,0,17,269,374,54,2,721
Florida,2011,3595,1182,865,1190,1068,1052,601,1313,2252,1096,44,4,5,62,1882,2575,205,21,4777
Georgia,2011,2159,649,729,778,576,486,240,421,2080,198,14,1,3,90,800,1756,186,9,2808
Hawaii,2011,74,12,5,24,23,22,11,32,8,5,17,0,12,11,17,54,8,1,86
Idaho,2011,31,6,5,12,12,5,2,29,2,5,0,0,0,1,5,29,2,0,37
Illinois,2011,1400,339,422,482,373,318,145,383,866,340,29,3,0,118,403,1142,122,11,1739
Indiana,2011,406,78,127,149,109,66,32,213,207,50,3,0,0,9,122,324,17,0,483
Iowa,2011,99,20,28,34,28,21,9,69,22,16,6,0,0,5,28,79,4,0,119
Kansas,2011,117,22,33,36,36,27,9,62,43,28,2,0,0,5,28,92,13,0,140
Kentucky,2011,272,46,78,83,61,71,26,169,109,25,3,0,0,12,60,230,17,0,318
Louisiana,2011,869,366,321,374,235,219,86,235,909,75,3,2,0,12,445,644,114,1,1235
Maine,2011,40,10,4,11,9,21,4,32,16,2,0,0,0,0,13,30,5,1,50
Maryland,2011,1126,485,346,406,311,377,170,229,1169,129,14,2,0,68,637,793,143,8,1611
Massachusetts,2011,552,215,100,180,234,173,81,270,261,192,28,0,0,18,236,385,117,2,768
Michigan,2011,635,161,248,209,148,134,58,234,486,47,13,0,0,15,175,542,56,3,797
Minnesota,2011,226,78,57,94,81,55,18,141,114,25,7,3,0,14,92,190,12,0,305
Mississippi,2011,397,144,160,146,98,86,51,82,411,20,1,0,0,29,183,323,27,0,541
Missouri,2011,460,76,151,152,104,91,39,227,264,36,2,0,0,7,84,410,25,0,536
Montana,2011,17,4,2,3,7,5,4,19,0,1,0,1,0,0,4,13,3,0,21
Nebraska,2011,70,10,12,33,15,19,1,46,13,12,1,2,0,6,13,61,2,0,81
Nevada,2011,333,55,92,139,65,61,32,131,101,111,32,2,1,10,54,286,24,3,388
New Hampshire,2011,35,6,5,8,5,15,7,32,4,3,1,0,0,1,-2,-2,-2,-2,41
New Jersey,2011,961,330,222,350,293,275,150,250,589,364,15,0,0,73,392,678,191,2,1291
New Mexico,2011,119,20,23,46,38,20,12,32,7,74,1,21,0,4,19,92,17,1,140
New York,2011,3045,964,800,1168,853,762,426,815,1665,1239,90,3,0,197,1134,2352,421,6,4009
North Carolina,2011,1151,343,359,350,302,321,163,322,981,100,11,12,1,66,447,912,101,2,1494
North Dakota,2011,11,1,4,5,1,1,1,9,2,1,0,0,0,0,1,11,0,0,12
Ohio,2011,839,222,289,296,229,179,69,443,513,61,6,1,0,38,246,726,60,2,1062
Oklahoma,2011,263,58,82,84,79,51,26,157,94,29,2,19,0,20,61,203,34,0,321
Oregon,2011,216,28,38,62,64,50,30,191,11,35,4,1,0,2,22,175,19,0,244
Pennsylvania,2011,1102,323,311,332,347,285,149,414,756,208,12,0,0,35,592,673,129,1,1425
Rhode Island,2011,90,12,11,31,23,28,9,55,15,21,2,0,0,8,24,69,3,0,102
South Carolina,2011,581,181,222,193,151,117,79,134,561,47,0,1,0,19,246,453,39,0,761
South Dakota,2011,13,8,1,6,4,6,4,11,2,3,0,4,0,1,5,7,7,0,22
Tennessee,2011,655,207,222,213,208,163,55,282,500,45,6,0,0,30,279,525,40,0,862
Texas,2011,3502,902,1060,1295,978,726,345,893,1621,1625,74,2,0,189,1064,2910,281,6,4404
Utah,2011,89,15,22,31,24,19,7,64,5,24,6,0,1,3,14,60,8,1,104
Vermont,2011,11,1,2,3,5,2,0,10,1,1,0,0,0,0,2,9,2,0,12
Virginia,2011,765,193,227,274,194,181,81,243,563,105,15,0,0,32,258,633,41,3,958
Washington,2011,430,66,71,143,133,93,57,283,83,81,24,5,5,15,63,338,39,2,496
West Virginia,2011,71,21,18,20,22,22,9,60,21,8,0,0,0,3,26,46,14,0,93
Wisconsin,2011,201,49,66,75,47,43,18,89,104,42,6,2,0,7,54,167,18,0,250
Wyoming,2011,13,2,1,2,2,5,5,12,1,1,0,0,0,1,4,10,0,0,15
Puerto Rico,2011,569,210,101,193,186,200,98,0,0,779,0,0,0,0,323,283,153,1,779
Alabama,2012,543,141,206,194,127,103,55,168,468,16,3,0,0,29,167,474,26,0,684
Alaska,2012,20,9,5,5,7,9,2,10,4,3,3,6,0,2,11,13,2,1,29
Arizona,2012,553,90,124,196,147,122,55,249,101,221,15,45,0,12,116,433,62,0,644
Arkansas,2012,207,47,72,78,41,47,15,99,129,20,0,1,0,6,47,184,13,0,254
California,2012,4718,562,975,1712,1191,1009,393,1646,913,2259,316,15,19,113,616,4138,269,4,5280
Colorado,2012,329,58,76,133,99,65,13,192,62,116,4,5,2,5,62,275,19,0,386
Connecticut,2012,226,73,47,79,75,66,32,79,124,84,5,1,1,4,97,154,41,1,299
Delaware,2012,100,39,34,38,29,23,16,39,87,9,1,0,0,3,65,61,10,1,139
Washington DC,2012,454,179,127,186,134,108,77,98,455,57,3,1,0,19,209,369,42,0,633
Florida,2012,3579,1084,848,1149,1045,1036,586,1280,2184,1111,32,5,2,50,1739,2617,206,12,4664
Georgia,2012,2206,630,717,784,583,524,228,450,2116,166,20,5,1,78,784,1830,161,5,2836
Hawaii,2012,76,11,9,28,18,22,10,30,0,12,21,0,12,12,10,66,6,0,87
Idaho,2012,32,6,7,10,7,6,7,30,2,5,0,0,0,1,3,22,4,0,38
Illinois,2012,1489,311,440,563,363,262,171,419,897,378,26,2,0,77,374,1274,77,27,1800
Indiana,2012,416,94,157,147,98,73,36,201,238,50,4,0,1,16,153,316,22,0,511
Iowa,2012,99,21,23,33,28,24,12,74,26,9,4,0,0,6,25,73,9,0,119
Kansas,2012,128,28,34,48,30,28,16,69,49,28,3,1,0,6,31,111,6,0,156
Kentucky,2012,310,61,98,121,73,53,26,197,132,22,4,0,0,16,62,266,27,2,370
Louisiana,2012,740,318,277,291,201,199,91,200,798,41,7,2,0,9,375,551,100,3,1059
Maine,2012,32,14,2,8,15,11,9,33,9,1,2,0,0,1,15,29,2,0,46
Maryland,2012,1105,425,329,402,319,300,181,198,1144,104,19,3,0,62,602,777,124,7,1531
Massachusetts,2012,588,213,116,222,181,190,92,295,247,218,27,2,0,12,241,427,100,4,800
Michigan,2012,669,151,265,226,152,121,56,239,499,36,11,3,0,32,178,572,50,1,820
Minnesota,2012,255,66,56,115,70,60,21,138,119,42,4,9,1,8,73,214,19,1,321
Mississippi,2012,369,90,147,125,72,64,51,75,344,12,2,1,0,25,131,303,17,1,459
Missouri,2012,462,86,157,167,96,88,39,214,291,30,5,0,0,9,95,407,25,0,548
Montana,2012,16,4,3,6,4,7,0,13,1,2,0,2,0,2,4,12,3,0,20
Nebraska,2012,73,12,15,25,25,14,6,42,26,11,1,1,1,3,21,50,4,2,85
Nevada,2012,328,47,82,114,92,61,26,140,80,118,21,2,3,11,50,280,24,0,375
New Hampshire,2012,37,11,8,11,13,10,5,36,7,3,0,0,0,2,-2,-2,-2,-2,48
New Jersey,2012,1079,368,269,398,318,314,148,282,623,437,26,0,1,78,412,793,208,3,1447
New Mexico,2012,112,10,21,41,31,24,6,28,2,70,0,21,0,2,20,78,10,0,122
New York,2012,2962,835,770,1154,771,699,403,777,1562,1170,85,3,0,200,1010,2317,360,5,3797
North Carolina,2012,995,298,308,349,242,255,139,286,844,96,11,12,1,42,387,807,73,1,1293
North Dakota,2012,6,5,3,3,3,1,1,4,5,1,0,1,0,0,5,4,2,0,11
Ohio,2012,858,186,285,315,186,180,78,427,489,64,5,0,0,59,207,745,55,5,1044
Oklahoma,2012,246,48,74,99,47,49,25,153,70,32,6,14,0,18,48,197,27,0,294
Oregon,2012,241,30,34,80,76,52,29,188,20,49,8,0,0,5,33,200,13,0,271
Pennsylvania,2012,1102,371,318,375,310,315,154,409,784,218,21,3,2,36,589,711,137,1,1473
Rhode Island,2012,61,16,5,26,24,15,7,36,15,22,0,0,0,4,28,43,3,0,77
South Carolina,2012,560,164,215,196,129,113,72,176,504,34,1,1,0,7,216,449,36,0,723
South Dakota,2012,15,9,0,3,7,13,1,11,3,0,0,10,0,0,12,8,3,0,25
Tennessee,2012,680,202,242,243,162,147,87,282,511,48,3,1,0,36,255,567,42,1,882
Texas,2012,3634,862,1090,1417,952,696,341,939,1636,1697,53,1,4,166,1020,3056,284,10,4496
Utah,2012,94,20,14,43,26,22,10,75,7,24,1,4,0,4,24,67,5,0,115
Vermont,2012,9,4,3,2,3,3,2,9,2,0,1,0,0,1,3,8,3,0,14
Virginia,2012,769,198,235,297,198,153,83,253,571,102,18,2,0,21,258,652,35,2,967
Washington,2012,425,84,80,162,132,91,43,287,91,66,30,5,7,23,87,348,29,2,509
West Virginia,2012,64,20,19,24,21,14,7,50,22,6,0,0,0,6,22,51,6,1,84
Wisconsin,2012,180,43,56,63,43,43,18,87,92,35,2,0,0,6,48,154,15,1,223
Wyoming,2012,6,1,1,1,2,0,3,4,1,1,0,1,0,0,2,6,0,0,7
Puerto Rico,2012,584,207,134,203,171,179,104,1,0,790,0,0,0,0,331,316,122,0,791
Alabama,2013,518,145,193,190,117,101,63,155,467,18,2,1,2,18,178,442,31,1,664
Alaska,2013,18,6,4,10,2,2,5,8,5,2,3,4,0,1,9,12,1,0,24
Arizona,2013,636,93,152,235,169,111,60,291,117,255,6,48,1,10,107,513,68,2,728
Arkansas,2013,214,56,85,78,61,30,16,96,140,18,1,0,0,15,62,192,10,0,270
California,2013,4415,543,899,1635,1111,876,436,1510,907,2096,296,19,18,112,644,3860,262,3,4958
Colorado,2013,280,46,57,117,78,52,22,156,56,99,8,2,0,5,61,241,15,0,326
Connecticut,2013,267,68,66,84,65,72,47,103,129,95,4,0,0,4,99,188,42,2,335
Delaware,2013,89,30,24,32,15,30,18,37,68,9,0,0,0,5,46,60,9,0,119
Washington DC,2013,400,132,104,178,97,98,56,84,393,45,4,0,1,5,157,313,42,2,532
Florida,2013,3517,1145,844,1266,979,949,623,1207,2104,1239,46,2,1,62,1648,2711,203,18,4662
Georgia,2013,2075,547,663,804,487,471,197,432,1936,190,10,1,0,53,737,1708,122,4,2622
Hawaii,2013,92,6,11,29,23,25,10,29,4,15,25,1,16,9,10,78,6,0,98
Idaho,2013,24,2,3,8,6,7,1,20,2,3,0,1,0,0,3,15,3,0,26
Illinois,2013,1465,313,482,549,316,273,159,431,893,371,31,0,0,53,362,1273,70,28,1779
Indiana,2013,407,92,165,148,79,72,35,180,246,52,8,1,0,11,129,332,25,1,499
Iowa,2013,90,35,19,29,27,29,22,78,26,9,8,0,0,4,39,77,7,0,126
Kansas,2013,129,24,33,37,42,24,17,60,49,31,1,0,1,10,26,109,9,0,153
Kentucky,2013,307,67,71,119,84,59,41,217,120,20,4,0,1,12,71,260,28,1,374
Louisiana,2013,931,304,323,352,261,191,108,282,879,54,6,1,0,13,364,730,103,1,1235
Maine,2013,26,6,3,6,12,8,3,20,10,2,0,0,0,0,4,21,6,1,32
Maryland,2013,1088,440,292,432,316,280,207,209,1153,85,17,1,0,62,635,762,96,6,1528
Massachusetts,2013,587,194,110,223,147,208,93,287,221,242,20,0,0,12,215,443,96,4,781
Michigan,2013,657,136,235,228,129,130,70,217,507,39,10,0,0,20,167,547,54,5,793
Minnesota,2013,239,76,54,99,51,73,39,148,120,30,2,6,0,8,90,202,11,0,315
Mississippi,2013,383,119,168,133,91,59,50,79,384,12,1,0,0,25,161,316,19,3,502
Missouri,2013,404,79,141,137,93,73,39,196,254,19,8,0,0,5,94,341,33,0,483
Montana,2013,20,3,4,7,5,4,2,14,1,1,1,2,0,4,2,19,1,0,23
Nebraska,2013,66,18,20,21,24,17,3,42,25,14,1,0,0,1,26,51,3,0,84
Nevada,2013,399,58,104,164,82,74,34,175,103,143,16,1,1,18,69,329,24,1,457
New Hampshire,2013,28,6,5,10,4,10,4,26,2,3,1,0,0,2,-2,-2,-2,-2,34
New Jersey,2013,1098,377,231,392,319,314,218,319,646,435,15,0,0,59,426,790,230,2,1475
