In-Market Segment,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Home & Garden/Home Appliances/Small Appliances,25,80.00%,20,48.00%,5.08,0:02:02,0.00%,0,$0.00
Computers & Peripherals/Computer Accessories & Components,23,78.26%,18,65.22%,3.57,0:02:23,0.00%,0,$0.00
Home & Garden/Outdoor Items/Garden & Outdoor Furniture,23,65.22%,15,56.52%,2.13,0:02:33,0.00%,0,$0.00
Apparel & Accessories/Lingerie,22,86.36%,19,50.00%,3.55,0:01:45,0.00%,0,$0.00
Apparel & Accessories/Luggage,22,86.36%,19,31.82%,4.18,0:03:49,0.00%,0,$0.00
Autos & Vehicles/Auto Parts & Accessories,22,95.45%,21,59.09%,3.05,0:02:14,0.00%,0,$0.00
Consumer Electronics/Televisions,22,72.73%,16,72.73%,2.14,0:02:28,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Rent)/Apartments (For Rent),22,95.45%,21,45.45%,4.05,0:02:25,0.00%,0,$0.00
Sports & Fitness/Outdoor Recreational Equipment/Camping & Hiking Equipment,22,86.36%,19,54.55%,2.86,0:01:59,0.00%,0,$0.00
Home & Garden/Home Improvement/Paint,21,85.71%,18,71.43%,3.14,0:01:55,0.00%,0,$0.00
Beauty Products & Services/Spas & Beauty Services,20,90.00%,18,80.00%,1.8,0:00:29,0.00%,0,$0.00
Home & Garden/Home Improvement/Plumbing Fixtures,20,55.00%,11,70.00%,4.15,0:02:10,0.00%,0,$0.00
Autos & Vehicles/Auto Parts & Accessories/Wheels & Tires,19,63.16%,12,84.21%,2.21,0:00:50,0.00%,0,$0.00
Consumer Electronics/Game Consoles/Sony PlayStation,19,78.95%,15,57.89%,3.58,0:02:04,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Pest Control,19,89.47%,17,63.16%,2.11,0:01:17,0.00%,0,$0.00
Home & Garden/Home Furnishings/Kitchen & Dining Room,19,100.00%,19,63.16%,2.42,0:01:23,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,18,61.11%,11,50.00%,5.5,0:04:14,0.00%,0,$0.00
Financial Services/Financial Planning,18,83.33%,15,61.11%,2.44,0:01:19,0.00%,0,$0.00
Sports & Fitness,18,77.78%,14,77.78%,2.39,0:00:32,0.00%,0,$0.00
Travel/Hotels & Accommodations/Vacation Rentals,18,88.89%,16,61.11%,3.5,0:02:36,0.00%,0,$0.00
Apparel & Accessories/Shoes/Boots,17,82.35%,14,41.18%,2.59,0:01:49,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles,17,82.35%,14,41.18%,6.82,0:03:51,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Painting Services,17,58.82%,10,70.59%,2.06,0:00:26,0.00%,0,$0.00
Software/Antivirus & Security Software,17,64.71%,11,58.82%,4.41,0:01:49,0.00%,0,$0.00
Travel/Cruises,17,52.94%,9,82.35%,2.41,0:00:35,0.00%,0,$0.00
Apparel & Accessories/Activewear,16,100.00%,16,43.75%,4.31,0:02:40,0.00%,0,$0.00
Financial Services/Credit & Lending,16,75.00%,12,62.50%,3.5,0:02:50,0.00%,0,$0.00
Sports & Fitness/Fitness Products & Services/Fitness Classes & Personal Training Services,16,81.25%,13,75.00%,2.38,0:00:33,0.00%,0,$0.00
Sports & Fitness/Sporting Goods,16,75.00%,12,62.50%,4.12,0:01:05,0.00%,0,$0.00
Apparel & Accessories/Perfumes & Fragrances,15,93.33%,14,53.33%,2.47,0:00:29,0.00%,0,$0.00
Autos & Vehicles/Vehicles (Other)/Bicycles & Accessories,15,73.33%,11,66.67%,4.8,0:01:40,0.00%,0,$0.00
Baby & Children's Products/Infant & Toddler Feeding/Infant Feeding Supplies,15,86.67%,13,66.67%,2.4,0:02:54,0.00%,0,$0.00
Business Services/Office Supplies/Office Furniture,15,73.33%,11,40.00%,4.73,0:02:12,0.00%,0,$0.00
Financial Services/Financial Planning/Retirement Planning,15,66.67%,10,73.33%,2.07,0:02:51,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Rent)/Houses (For Rent),15,93.33%,14,66.67%,2,0:00:24,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Sale)/Apartments (For Sale)/Preowned Apartments (For Sale),15,60.00%,9,53.33%,2.93,0:01:00,0.00%,0,$0.00
Travel/Car Rental,15,93.33%,14,26.67%,3.33,0:01:18,0.00%,0,$0.00
Apparel & Accessories/Costumes,14,78.57%,11,57.14%,3.43,0:04:38,0.00%,0,$0.00
Business Services/Advertising & Marketing Services/SEO & SEM Services,14,92.86%,13,64.29%,3,0:00:50,0.00%,0,$0.00
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,14,71.43%,10,71.43%,2.43,0:00:46,0.00%,0,$0.00
Consumer Electronics/Game Consoles/Nintendo Consoles,14,71.43%,10,64.29%,3.36,0:01:41,0.00%,0,$0.00
Apparel & Accessories/Formal Wear/Bridal Wear,13,100.00%,13,69.23%,2.15,0:00:38,0.00%,0,$0.00
Apparel & Accessories/Swimwear,13,92.31%,12,53.85%,2.92,0:01:02,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Chevrolet,13,84.62%,11,76.92%,2.23,0:00:29,0.00%,0,$0.00
"Apparel & Accessories/Wallets, Briefcases & Leather Goods",12,83.33%,10,50.00%,2.75,0:03:51,0.00%,0,$0.00
Baby & Children's Products/Childcare & Education/Early Childhood Education,12,100.00%,12,83.33%,1.33,0:00:17,0.00%,0,$0.00
Business Services,12,83.33%,10,50.00%,7.58,0:04:30,0.00%,0,$0.00
Consumer Electronics/Audio/Speakers,12,91.67%,11,66.67%,1.75,0:01:10,0.00%,0,$0.00
Gifts & Occasions/Party Supplies & Planning/Event Planning Services,10,100.00%,10,50.00%,6,0:02:51,0.00%,0,$0.00
Gifts & Occasions/Photo & Video Services,10,100.00%,10,70.00%,3.9,0:01:07,0.00%,0,$0.00
