In-Market Segment,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Consumer Electronics/Cameras,31,67.74%,21,58.06%,3.87,0:02:13,0.00%,0,$0.00
Event Tickets/Concert & Music Festival Tickets,31,87.10%,27,74.19%,2.77,0:01:04,0.00%,0,$0.00
Home & Garden/Home Furnishings/Bedroom,31,77.42%,24,54.84%,4.26,0:02:03,0.00%,0,$0.00
Home & Garden/Home Improvement,31,83.87%,26,64.52%,11.1,0:05:09,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Rent),31,77.42%,24,54.84%,13.29,0:08:46,0.00%,0,$0.00
Travel/Trips by Destination/Trips to Asia-Pacific,30,73.33%,22,56.67%,3.77,0:02:00,0.00%,0,$0.00
Apparel & Accessories/Outerwear,28,75.00%,21,42.86%,6.14,0:04:52,0.00%,0,$0.00
Home & Garden/Home Furnishings/Home Office,28,60.71%,17,46.43%,5.96,0:06:35,0.00%,0,$0.00
Apparel & Accessories/Luggage,26,57.69%,15,53.85%,6.31,0:03:49,0.00%,0,$0.00
Baby & Children's Products/Baby & Children's Apparel/Children's Apparel,26,65.38%,17,57.69%,5.5,0:04:44,0.00%,0,$0.00
Beauty Products & Services/Skin Care Products,26,73.08%,19,65.38%,2.23,0:00:57,0.00%,0,$0.00
Employment/Resumes & Portfolios,26,84.62%,22,69.23%,2.12,0:01:15,0.00%,0,$0.00
Apparel & Accessories/Jewelry & Watches/Watches,25,60.00%,15,68.00%,2.2,0:00:58,0.00%,0,$0.00
Autos & Vehicles/Auto Parts & Accessories/Wheels & Tires,25,84.00%,21,56.00%,18.48,0:07:46,0.00%,0,$0.00
Baby & Children's Products/Toys & Games,25,52.00%,13,52.00%,5.24,0:02:00,0.00%,0,$0.00
Apparel & Accessories/Men's Apparel,24,62.50%,15,37.50%,5.71,0:05:59,0.00%,0,$0.00
Consumer Electronics/Audio,24,50.00%,12,54.17%,3.79,0:04:01,0.00%,0,$0.00
Home & Garden/Home Improvement/Flooring,24,58.33%,14,50.00%,3.46,0:01:27,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used),23,78.26%,18,65.22%,5.78,0:07:48,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Architectural Services,23,73.91%,17,39.13%,5.17,0:04:08,0.00%,0,$0.00
Home & Garden/Home Improvement/Tools,23,91.30%,21,65.22%,14.3,0:05:13,0.00%,0,$0.00
Home & Garden/Home Improvement/Paint,22,95.45%,21,54.55%,4.41,0:02:27,0.00%,0,$0.00
Apparel & Accessories/Perfumes & Fragrances,21,76.19%,16,66.67%,2.52,0:00:58,0.00%,0,$0.00
Sports & Fitness/Outdoor Recreational Equipment/Camping & Hiking Equipment,21,85.71%,18,66.67%,3.86,0:01:48,0.00%,0,$0.00
Autos & Vehicles/Auto Parts & Accessories,20,80.00%,16,60.00%,5.35,0:03:36,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Rent)/Apartments (For Rent),20,80.00%,16,50.00%,4.9,0:07:35,0.00%,0,$0.00
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,19,84.21%,16,63.16%,3.32,0:01:50,0.00%,0,$0.00
Apparel & Accessories/Activewear,18,61.11%,11,44.44%,5.94,0:03:56,0.00%,0,$0.00
Gifts & Occasions,18,66.67%,12,22.22%,8,0:04:55,0.00%,0,$0.00
Telecom/Internet Service Providers,18,88.89%,16,38.89%,3.5,0:03:43,0.00%,0,$0.00
Autos & Vehicles/Vehicles (Other)/Bicycles & Accessories,17,82.35%,14,35.29%,10.41,0:08:16,0.00%,0,$0.00
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,17,88.24%,15,64.71%,3.06,0:01:10,0.00%,0,$0.00
Home & Garden/Outdoor Items/Garden & Outdoor Furniture,17,94.12%,16,64.71%,3.65,0:02:31,0.00%,0,$0.00
"Apparel & Accessories/Wallets, Briefcases & Leather Goods",16,62.50%,10,31.25%,9.06,0:05:27,0.00%,0,$0.00
Business Services,16,93.75%,15,75.00%,1.38,0:00:38,0.00%,0,$0.00
Financial Services/Financial Planning,16,87.50%,14,62.50%,3.94,0:02:24,0.00%,0,$0.00
Sports & Fitness/Sporting Goods,16,62.50%,10,68.75%,3.12,0:01:29,0.00%,0,$0.00
Travel/Car Rental,16,81.25%,13,50.00%,1.94,0:01:59,0.00%,0,$0.00
Autos & Vehicles/Auto Parts & Accessories/Auto Exterior Parts & Accessories,15,73.33%,11,60.00%,3.47,0:02:21,0.00%,0,$0.00
Home & Garden/Home Decor/Rugs & Carpets,15,73.33%,11,60.00%,2.47,0:01:53,0.00%,0,$0.00
Travel/Hotels & Accommodations/Vacation Rentals,15,86.67%,13,53.33%,2.4,0:02:21,0.00%,0,$0.00
Baby & Children's Products/Childcare & Education/Early Childhood Education,14,78.57%,11,64.29%,8.07,0:07:49,0.00%,0,$0.00
Business Services/Advertising & Marketing Services/SEO & SEM Services,14,92.86%,13,57.14%,1.86,0:02:22,0.00%,0,$0.00
Financial Services/Credit & Lending/Credit Cards,14,85.71%,12,50.00%,6.79,0:03:57,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Sale)/Apartments (For Sale)/Preowned Apartments (For Sale),14,57.14%,8,50.00%,3.14,0:02:36,0.00%,0,$0.00
Software/Video Software,14,78.57%,11,50.00%,2.64,0:03:03,0.00%,0,$0.00
Apparel & Accessories/Formal Wear/Bridal Wear,13,100.00%,13,61.54%,1.62,0:01:14,0.00%,0,$0.00
Baby & Children's Products/Infant & Toddler Feeding/Infant Feeding Supplies,13,76.92%,10,69.23%,7.38,0:06:51,0.00%,0,$0.00
Beauty Products & Services/Spas & Beauty Services,13,84.62%,11,69.23%,5.92,0:04:57,0.00%,0,$0.00
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,13,69.23%,9,53.85%,9.69,0:10:21,0.00%,0,$0.00
Consumer Electronics/Televisions,13,92.31%,12,38.46%,9.38,0:08:28,0.00%,0,$0.00
Employment/Clerical & Administrative Jobs,13,76.92%,10,30.77%,26.54,0:17:28,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Painting Services,13,84.62%,11,53.85%,5.08,0:01:54,0.00%,0,$0.00
Home & Garden/Home Appliances/Small Appliances,13,92.31%,12,69.23%,2.31,0:01:03,0.00%,0,$0.00
Software/Antivirus & Security Software,13,92.31%,12,61.54%,3.08,0:02:19,0.00%,0,$0.00
Sports & Fitness,13,84.62%,11,76.92%,3.69,0:01:07,0.00%,0,$0.00
Apparel & Accessories/Jewelry & Watches/Wedding & Engagement Rings,12,66.67%,8,50.00%,3,0:03:48,0.00%,0,$0.00
Autos & Vehicles/Auto Parts & Accessories/Engine & Transmission,12,83.33%,10,33.33%,3.17,0:01:36,0.00%,0,$0.00
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,12,100.00%,12,58.33%,2.17,0:02:32,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Door & Window Installation,12,91.67%,11,58.33%,2,0:04:21,0.00%,0,$0.00
Home & Garden/Home Furnishings/Kitchen & Dining Room,12,83.33%,10,41.67%,10.92,0:08:51,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Rent)/Houses (For Rent),12,83.33%,10,41.67%,28.33,0:12:46,0.00%,0,$0.00
Sports & Fitness/Fitness Products & Services/Fitness Classes & Personal Training Services,12,91.67%,11,75.00%,3.33,0:00:57,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles,11,81.82%,9,45.45%,5.36,0:03:21,0.00%,0,$0.00
Computers & Peripherals/Computer Accessories & Components,11,81.82%,9,63.64%,2.09,0:02:28,0.00%,0,$0.00
Consumer Electronics/Game Consoles/Nintendo Consoles,11,72.73%,8,45.45%,3.55,0:03:13,0.00%,0,$0.00
Gifts & Occasions/Holiday & Seasonal Items/Halloween Items & Decor,11,90.91%,10,54.55%,1.91,0:00:32,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Pest Control,11,100.00%,11,63.64%,4.55,0:01:43,0.00%,0,$0.00
Software/Design Software,11,90.91%,10,63.64%,1.73,0:00:22,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles/Motor Vehicles (New),10,90.00%,9,60.00%,4.6,0:01:41,0.00%,0,$0.00
