Other Category,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Arts & Entertainment/Music & Audio/World Music/East Asian Music,17,88.24%,15,58.82%,2.41,0:03:33,0.00%,0,$0.00
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events,17,76.47%,13,52.94%,2.53,0:04:27,0.00%,0,$0.00
Real Estate/Real Estate Listings/Residential Rentals,17,82.35%,14,41.18%,3.88,0:02:21,0.00%,0,$0.00
Arts & Entertainment/Events & Listings/Concerts & Music Festivals,16,75.00%,12,37.50%,10.25,0:05:38,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Music Videos,16,87.50%,14,50.00%,4.12,0:03:39,0.00%,0,$0.00
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Valentine's Day,16,87.50%,14,62.50%,2.56,0:05:17,0.00%,0,$0.00
Internet & Telecom/Web Portals,16,87.50%,14,50.00%,5.31,0:04:50,0.00%,0,$0.00
Science/Mathematics,16,93.75%,15,37.50%,3.88,0:02:29,0.00%,0,$0.00
Shopping/Apparel/Clothing Accessories/Handbags & Purses,16,62.50%,10,75.00%,1.44,0:00:15,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Dance & Electronic Music,15,80.00%,12,40.00%,6.2,0:04:21,0.00%,0,$0.00
Home & Garden/Home Furnishings,15,100.00%,15,60.00%,3.4,0:00:50,0.00%,0,$0.00
People & Society/Family & Relationships/Family/Baby & Pet Names,15,93.33%,14,66.67%,1.47,0:00:11,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Sci-Fi & Fantasy Shows,14,78.57%,11,64.29%,2.36,0:01:46,0.00%,0,$0.00
Beauty & Fitness/Body Art,14,92.86%,13,71.43%,1.57,0:00:09,0.00%,0,$0.00
Finance/Investing/Currencies & Foreign Exchange,14,78.57%,11,50.00%,5.43,0:02:52,0.00%,0,$0.00
Reference/Humanities/History,14,64.29%,9,35.71%,5.93,0:02:19,0.00%,0,$0.00
Reference/Language Resources,14,78.57%,11,35.71%,7.21,0:04:24,0.00%,0,$0.00
Science/Biological Sciences/Flora & Fauna,14,78.57%,11,78.57%,1.5,0:00:19,0.00%,0,$0.00
Games/Roleplaying Games,13,76.92%,10,69.23%,5.69,0:05:10,0.00%,0,$0.00
Home & Garden/Home Furnishings/Lamps & Lighting,13,100.00%,13,84.62%,1.54,0:00:14,0.00%,0,$0.00
Home & Garden/Kitchen & Dining/Cookware & Diningware,13,92.31%,12,38.46%,3.62,0:02:07,0.00%,0,$0.00
Jobs & Education/Education/Standardized & Admissions Tests,13,84.62%,11,53.85%,4.38,0:01:35,0.00%,0,$0.00
News/Newspapers,13,76.92%,10,46.15%,2.69,0:02:46,0.00%,0,$0.00
Reference/General Reference/Biographies & Quotations,13,92.31%,12,69.23%,2.08,0:01:21,0.00%,0,$0.00
Science/Astronomy,13,69.23%,9,38.46%,3.46,0:03:32,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Flowers,13,69.23%,9,38.46%,8.23,0:09:19,0.00%,0,$0.00
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,12,83.33%,10,66.67%,2,0:01:57,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Radio,12,91.67%,11,50.00%,5.83,0:04:56,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Rock Music,12,91.67%,11,41.67%,4.33,0:03:47,0.00%,0,$0.00
Arts & Entertainment/Visual Art & Design/Design/Graphic Design,12,83.33%,10,58.33%,3.17,0:01:47,0.00%,0,$0.00
Books & Literature/Writers Resources,12,83.33%,10,41.67%,3,0:02:08,0.00%,0,$0.00
Shopping/Apparel/Costumes,12,83.33%,10,50.00%,4.58,0:03:43,0.00%,0,$0.00
Shopping/Apparel/Footwear,12,91.67%,11,50.00%,3.83,0:04:59,0.00%,0,$0.00
Shopping/Apparel/Women's Clothing,12,100.00%,12,58.33%,2.5,0:04:09,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Reggaeton,11,81.82%,9,54.55%,3.18,0:02:49,0.00%,0,$0.00
Jobs & Education/Education/Teaching & Classroom Resources,11,100.00%,11,45.45%,5.09,0:04:17,0.00%,0,$0.00
Shopping/Consumer Resources/Coupons & Discount Offers,11,81.82%,9,45.45%,4,0:01:20,0.00%,0,$0.00
Arts & Entertainment/Movies/Movie Reference/Movie Reviews & Previews,10,100.00%,10,50.00%,5.9,0:05:52,0.00%,0,$0.00
