Affinity Category (reach),Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Shoppers/Luxury Shoppers,173,67.63%,117,56.07%,6.61,0:04:43,0.00%,0,$0.00
TV Lovers/TV Drama Fans,169,71.01%,120,59.76%,3.61,0:03:52,0.00%,0,$0.00
Art & Theater Aficionados,168,70.24%,118,58.93%,3.51,0:02:23,0.00%,0,$0.00
"TV Lovers/Game, Reality & Talk Show Fans",161,73.91%,119,60.25%,6.55,0:03:59,0.00%,0,$0.00
Avid Investors,159,79.87%,127,56.60%,4.69,0:03:35,0.00%,0,$0.00
Music Lovers/Rock Music Fans,153,60.13%,92,56.21%,3.67,0:02:58,0.00%,0,$0.00
Gamers,151,70.86%,107,59.60%,4.09,0:03:03,0.00%,0,$0.00
Business Professionals,148,68.92%,102,58.78%,3.3,0:03:03,0.00%,0,$0.00
Foodies,143,76.92%,110,63.64%,3.78,0:02:21,0.00%,0,$0.00
Auto Enthusiasts,141,77.30%,109,60.99%,6.7,0:04:16,0.00%,0,$0.00
Outdoor Enthusiasts,140,77.86%,109,58.57%,7.04,0:03:46,0.00%,0,$0.00
News Junkies/Political News Junkies,136,73.53%,100,55.88%,5.2,0:03:34,0.00%,0,$0.00
Gamers/Casual & Social Gamers,135,68.15%,92,60.00%,4.83,0:03:46,0.00%,0,$0.00
Green Living Enthusiasts,133,73.68%,98,63.91%,3.38,0:02:23,0.00%,0,$0.00
Gamers/Hardcore Gamers,130,73.08%,95,64.62%,3.52,0:02:33,0.00%,0,$0.00
Sports Fans/Soccer Fans,125,68.00%,85,48.80%,4.55,0:03:31,0.00%,0,$0.00
Music Lovers/Electronica & Dance Music Fans,118,66.10%,78,66.10%,3.25,0:02:42,0.00%,0,$0.00
Travel Buffs/Beachbound Travelers,100,70.00%,70,61.00%,3.11,0:01:55,0.00%,0,$0.00
Pet Lovers/Dog Lovers,97,79.38%,77,63.92%,3.51,0:02:55,0.00%,0,$0.00
Shoppers/Bargain Hunters,93,68.82%,64,55.91%,3.92,0:03:25,0.00%,0,$0.00
Do-It-Yourselfers,91,82.42%,75,59.34%,6.96,0:04:09,0.00%,0,$0.00
Movie Lovers/Sci-Fi & Fantasy Movie Fans,84,67.86%,57,55.95%,4.45,0:02:06,0.00%,0,$0.00
Cooking Enthusiasts/30 Minute Chefs,82,68.29%,56,58.54%,4.34,0:02:29,0.00%,0,$0.00
News Junkies/Business & Economic News Junkies,80,78.75%,63,51.25%,7.82,0:04:52,0.00%,0,$0.00
Movie Lovers/Family Movie Fans,79,78.48%,62,60.76%,2.9,0:01:28,0.00%,0,$0.00
Music Lovers/Spanish-Language Music Fans,79,69.62%,55,63.29%,3.73,0:01:42,0.00%,0,$0.00
Movie Lovers/Action & Adventure Movie Fans,75,82.67%,62,54.67%,4.24,0:02:00,0.00%,0,$0.00
Music Lovers/Indie & Alternative Rock Fans,69,72.46%,50,60.87%,3.52,0:02:04,0.00%,0,$0.00
TV Lovers/TV Comedy Fans,69,75.36%,52,49.28%,4.41,0:02:46,0.00%,0,$0.00
Gamers/Roleplaying Game Fans,66,62.12%,41,57.58%,2.82,0:02:34,0.00%,0,$0.00
Movie Lovers/Comedy Movie Fans,63,60.32%,38,52.38%,3.9,0:03:09,0.00%,0,$0.00
Pet Lovers/Cat Lovers,55,69.09%,38,63.64%,3.09,0:02:28,0.00%,0,$0.00
Nightlife Enthusiasts,53,83.02%,44,56.60%,4.36,0:03:01,0.00%,0,$0.00
Travel Buffs/Luxury Travelers,50,76.00%,38,60.00%,4.92,0:03:41,0.00%,0,$0.00
News Junkies/Local News Junkies,48,77.08%,37,52.08%,4.23,0:03:41,0.00%,0,$0.00
Music Lovers/Country Music Fans,47,68.09%,32,63.83%,3.47,0:02:45,0.00%,0,$0.00
Movie Lovers/Romance & Drama Movie Fans,46,60.87%,28,63.04%,3.33,0:02:01,0.00%,0,$0.00
Music Lovers/Classical Music Enthusiasts,46,58.70%,27,54.35%,3.02,0:02:20,0.00%,0,$0.00
Shoppers/Value Shoppers,44,75.00%,33,56.82%,6.48,0:04:14,0.00%,0,$0.00
Music Lovers/Metalheads,39,53.85%,21,61.54%,9.41,0:04:53,0.00%,0,$0.00
Thrill Seekers,38,71.05%,27,52.63%,7,0:05:15,0.00%,0,$0.00
Sports Fans/Basketball Fans,37,64.86%,24,54.05%,4.89,0:03:09,0.00%,0,$0.00
Music Lovers/Folk & Traditional Music Enthusiasts,35,80.00%,28,42.86%,3.09,0:01:33,0.00%,0,$0.00
TV Lovers/Sci-Fi & Fantasy TV Fans,33,72.73%,24,63.64%,3.91,0:02:43,0.00%,0,$0.00
Gamers/Shooter Game Fans,32,84.38%,27,65.62%,4.47,0:02:04,0.00%,0,$0.00
Travel Buffs/Family Vacationers,32,78.12%,25,59.38%,2.59,0:01:50,0.00%,0,$0.00
Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,31,80.65%,25,45.16%,4.61,0:02:21,0.00%,0,$0.00
Sports Fans/American Football Fans,31,67.74%,21,51.61%,5.58,0:03:38,0.00%,0,$0.00
Gamers/Adventure & Strategy Game Fans,30,96.67%,29,66.67%,2.97,0:01:00,0.00%,0,$0.00
Sports Fans/Fight & Wrestling Fans,29,89.66%,26,68.97%,3.62,0:01:39,0.00%,0,$0.00
Movie Lovers/Horror Movie Fans,28,64.29%,18,64.29%,6.36,0:05:23,0.00%,0,$0.00
Sports Fans/Cycling Enthusiasts,28,82.14%,23,42.86%,7.82,0:05:20,0.00%,0,$0.00
Movie Lovers/South Asian Film Fans,27,77.78%,21,66.67%,4.7,0:03:39,0.00%,0,$0.00
Music Lovers/Jazz Enthusiasts,25,72.00%,18,72.00%,2.24,0:02:29,0.00%,0,$0.00
Auto Enthusiasts/Motorcycle Enthusiasts,24,70.83%,17,50.00%,15.08,0:07:00,0.00%,0,$0.00
Fast Food Cravers,22,77.27%,17,77.27%,2.14,0:00:23,0.00%,0,$0.00
Sports Fans/Baseball Fans,21,80.95%,17,71.43%,2.95,0:02:37,0.00%,0,$0.00
TV Lovers/Family Television Fans,21,80.95%,17,80.95%,1.57,0:00:19,0.00%,0,$0.00
Sports Fans/Boating & Sailing Enthusiasts,20,80.00%,16,40.00%,21.45,0:15:15,0.00%,0,$0.00
Auto Enthusiasts/Truck & SUV Enthusiasts,18,83.33%,15,50.00%,8.17,0:04:10,0.00%,0,$0.00
News Junkies/Women's Media Fans,18,66.67%,12,44.44%,8.11,0:07:06,0.00%,0,$0.00
Sports Fans/Running Enthusiasts,16,93.75%,15,56.25%,3.25,0:01:17,0.00%,0,$0.00
Sports Fans/Motor Sports Enthusiasts,13,76.92%,10,53.85%,9.08,0:07:49,0.00%,0,$0.00
Gamers/Action Game Fans,12,91.67%,11,75.00%,4.33,0:01:30,0.00%,0,$0.00
Travel Buffs/Snowbound Travelers,11,90.91%,10,63.64%,2.64,0:00:42,0.00%,0,$0.00
Sports Fans/Water Sports Enthusiasts,10,90.00%,9,90.00%,2.8,0:00:27,0.00%,0,$0.00
