Other Category,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Arts & Entertainment/Music & Audio/World Music/East Asian Music,28,71.43%,20,89.29%,1.18,0:00:09,0.00%,0,$0.00
News/Politics,28,67.86%,19,57.14%,5.29,0:03:57,0.00%,0,$0.00
People & Society/Social Sciences/Psychology,28,35.71%,10,50.00%,3.25,0:03:09,0.00%,0,$0.00
Shopping/Apparel/Clothing Accessories/Gems & Jewelry,28,85.71%,24,50.00%,4.36,0:04:51,0.00%,0,$0.00
Jobs & Education/Education/Colleges & Universities,27,85.19%,23,74.07%,1.89,0:00:58,0.00%,0,$0.00
Science/Mathematics,27,81.48%,22,59.26%,2.37,0:01:07,0.00%,0,$0.00
Travel/Travel Agencies & Services,27,77.78%,21,51.85%,3.44,0:01:26,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Reality Shows,26,76.92%,20,57.69%,10.81,0:05:19,0.00%,0,$0.00
Hobbies & Leisure/Special Occasions/Weddings,26,73.08%,19,61.54%,5.15,0:04:14,0.00%,0,$0.00
Reference/General Reference/Time & Calendars,26,80.77%,21,69.23%,14,0:06:09,0.00%,0,$0.00
Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes,25,64.00%,16,84.00%,3.4,0:01:44,0.00%,0,$0.00
Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys,25,92.00%,23,84.00%,1.6,0:00:17,0.00%,0,$0.00
Books & Literature/E-Books,25,84.00%,21,76.00%,4.64,0:03:26,0.00%,0,$0.00
Business & Industrial/Business Services/Office Supplies,25,84.00%,21,64.00%,6.64,0:05:03,0.00%,0,$0.00
People & Society/Family & Relationships/Romance,25,96.00%,24,60.00%,4.88,0:02:47,0.00%,0,$0.00
Shopping/Auctions,24,83.33%,20,54.17%,2.5,0:02:57,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Music Videos,23,60.87%,14,69.57%,2.57,0:02:39,0.00%,0,$0.00
Games/Online Games,23,91.30%,21,73.91%,2.09,0:01:12,0.00%,0,$0.00
Books & Literature,22,72.73%,16,63.64%,4.14,0:03:13,0.00%,0,$0.00
Reference/General Reference/Biographies & Quotations,22,86.36%,19,54.55%,2.36,0:00:59,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Rap & Hip-Hop,21,90.48%,19,71.43%,3.86,0:03:14,0.00%,0,$0.00
Shopping/Consumer Resources/Coupons & Discount Offers,21,61.90%,13,57.14%,2.48,0:02:56,0.00%,0,$0.00
Arts & Entertainment/Humor,20,85.00%,17,80.00%,6,0:01:32,0.00%,0,$0.00
Finance/Investing/Currencies & Foreign Exchange,20,80.00%,16,65.00%,5.8,0:02:53,0.00%,0,$0.00
Shopping/Apparel/Women's Clothing,19,73.68%,14,31.58%,5.74,0:08:21,0.00%,0,$0.00
Arts & Entertainment/Movies/Bollywood & South Asian Film,18,88.89%,16,83.33%,1.89,0:02:04,0.00%,0,$0.00
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Comedies,18,66.67%,12,44.44%,3.28,0:02:34,0.00%,0,$0.00
Beauty & Fitness/Body Art,18,94.44%,17,77.78%,2.5,0:00:39,0.00%,0,$0.00
Internet & Telecom/Web Portals,18,72.22%,13,50.00%,2.44,0:00:42,0.00%,0,$0.00
Arts & Entertainment/Music & Audio/Dance & Electronic Music,17,94.12%,16,64.71%,4.12,0:03:41,0.00%,0,$0.00
Home & Garden/Home Storage & Shelving,17,94.12%,16,52.94%,2.35,0:01:56,0.00%,0,$0.00
Jobs & Education/Education/Primary & Secondary Schooling (K-12),17,100.00%,17,70.59%,7.24,0:02:06,0.00%,0,$0.00
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,17,94.12%,16,52.94%,3.88,0:06:51,0.00%,0,$0.00
Shopping/Mass Merchants & Department Stores,17,76.47%,13,64.71%,5.29,0:03:38,0.00%,0,$0.00
Arts & Entertainment/Visual Art & Design,16,87.50%,14,37.50%,3.31,0:03:03,0.00%,0,$0.00
Books & Literature/Writers Resources,16,87.50%,14,75.00%,6.5,0:06:00,0.00%,0,$0.00
Business & Industrial/Small Business/MLM & Business Opportunities,16,93.75%,15,68.75%,2.88,0:06:12,0.00%,0,$0.00
Finance/Accounting & Auditing/Tax Preparation & Planning,16,56.25%,9,81.25%,2,0:01:59,0.00%,0,$0.00
Jobs & Education/Education/Teaching & Classroom Resources,16,93.75%,15,68.75%,19.12,0:08:26,0.00%,0,$0.00
Real Estate/Real Estate Listings/Residential Sales,16,81.25%,13,62.50%,6.12,0:04:09,0.00%,0,$0.00
Shopping/Apparel/Footwear,16,75.00%,12,56.25%,3.19,0:01:23,0.00%,0,$0.00
Shopping/Apparel/Women's Clothing/Dresses,16,81.25%,13,50.00%,10.69,0:11:07,0.00%,0,$0.00
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events,15,93.33%,14,66.67%,1.6,0:01:36,0.00%,0,$0.00
Home & Garden/Home Furnishings,15,93.33%,14,33.33%,3.2,0:01:53,0.00%,0,$0.00
Arts & Entertainment/Movies/Animated Films,14,92.86%,13,57.14%,3.93,0:01:49,0.00%,0,$0.00
Arts & Entertainment/Visual Art & Design/Painting,14,78.57%,11,78.57%,1.86,0:02:22,0.00%,0,$0.00
Internet & Telecom/Search Engines,14,71.43%,10,42.86%,13.71,0:08:47,0.00%,0,$0.00
Arts & Entertainment/Visual Art & Design/Architecture,13,76.92%,10,53.85%,2.69,0:03:20,0.00%,0,$0.00
Home & Garden/Kitchen & Dining/Cookware & Diningware,13,84.62%,11,61.54%,2.31,0:02:55,0.00%,0,$0.00
News/Newspapers,13,84.62%,11,69.23%,2.92,0:00:39,0.00%,0,$0.00
Online Communities/Dating & Personals,13,84.62%,11,61.54%,2.77,0:01:23,0.00%,0,$0.00
Pets & Animals/Wildlife,13,76.92%,10,61.54%,2.31,0:03:11,0.00%,0,$0.00
Shopping/Gifts & Special Event Items/Party & Holiday Supplies,13,100.00%,13,61.54%,5,0:01:29,0.00%,0,$0.00
Arts & Entertainment/Comics & Animation/Comics,12,100.00%,12,75.00%,4.33,0:03:39,0.00%,0,$0.00
Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Photo Software,12,83.33%,10,58.33%,3.75,0:04:25,0.00%,0,$0.00
Food & Drink/Food/Candy & Sweets,12,100.00%,12,66.67%,4.17,0:02:04,0.00%,0,$0.00
Games/Roleplaying Games,12,83.33%,10,50.00%,4.83,0:04:59,0.00%,0,$0.00
Home & Garden/Domestic Services/Cleaning Services,12,100.00%,12,50.00%,3.25,0:00:42,0.00%,0,$0.00
Jobs & Education/Education/Standardized & Admissions Tests,12,75.00%,9,66.67%,6.42,0:05:04,0.00%,0,$0.00
Reference/Language Resources,12,91.67%,11,75.00%,1.92,0:00:26,0.00%,0,$0.00
Shopping/Apparel/Footwear/Athletic Shoes,12,75.00%,9,33.33%,5.08,0:02:11,0.00%,0,$0.00
Books & Literature/Children's Literature,11,81.82%,9,63.64%,3.73,0:00:32,0.00%,0,$0.00
Home & Garden/Home Furnishings/Lamps & Lighting,11,100.00%,11,45.45%,6.82,0:03:23,0.00%,0,$0.00
News/Politics/Campaigns & Elections,11,72.73%,8,27.27%,3.27,0:00:58,0.00%,0,$0.00
Reference/Humanities/History,11,81.82%,9,63.64%,4.09,0:01:54,0.00%,0,$0.00
Science/Biological Sciences/Flora & Fauna,11,100.00%,11,45.45%,1.91,0:01:16,0.00%,0,$0.00
Science/Chemistry,11,90.91%,10,72.73%,1.55,0:00:33,0.00%,0,$0.00
Shopping/Antiques & Collectibles,11,100.00%,11,63.64%,7.09,0:08:16,0.00%,0,$0.00
Games/Computer & Video Games/Casual Games,10,100.00%,10,80.00%,1.2,0:00:05,0.00%,0,$0.00
