Language,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
es-ar,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
es-pe,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
ja-jp,2,100.00%,2,50.00%,9.5,0:14:05,0.00%,0,$0.00
nb,2,50.00%,1,50.00%,4,0:01:08,0.00%,0,$0.00
nl-be,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
sl,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
sr,2,100.00%,2,50.00%,6,0:15:45,0.00%,0,$0.00
tr,2,100.00%,2,50.00%,2,0:00:10,0.00%,0,$0.00
(not set),1,100.00%,1,0.00%,9,0:02:06,0.00%,0,$0.00
cs,1,100.00%,1,0.00%,6,0:01:28,0.00%,0,$0.00
da-dk,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
de-li,1,100.00%,1,0.00%,5,0:07:00,0.00%,0,$0.00
el-gr,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
en-my,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
en-vn,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-bo,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-co,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
fr-be,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
fr-ch,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
he,1,100.00%,1,0.00%,2,0:00:13,0.00%,0,$0.00
he-il,1,100.00%,1,0.00%,2,0:00:24,0.00%,0,$0.00
id-id,1,100.00%,1,0.00%,2,0:00:56,0.00%,0,$0.00
ko-kr,1,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
nb-no,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
pt-us,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
ro,1,100.00%,1,0.00%,2,0:00:46,0.00%,0,$0.00
ro-ro,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
sv,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
sv-se,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
th,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
th-th,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
