In-Market Segment,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Home & Garden/Home Improvement,54,81.48%,44,55.56%,3.44,0:01:34,0.00%,0,$0.00
Software/Design Software/Drawing & Animation Software,54,42.59%,23,61.11%,2.91,0:03:41,0.00%,0,$0.00
Travel/Bus & Rail Travel,54,59.26%,32,66.67%,2.44,0:01:19,0.00%,0,$0.00
Home & Garden/Home Furnishings/Home Storage & Shelving,53,77.36%,41,62.26%,3.58,0:01:23,0.00%,0,$0.00
Travel/Trips by Destination/Trips to Europe,52,80.77%,42,57.69%,3.54,0:01:22,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Interior Design & Decorating Services,51,94.12%,48,66.67%,3.31,0:01:32,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Home Cleaning Services,49,81.63%,40,63.27%,2.92,0:02:46,0.00%,0,$0.00
Business Services/Business Technology/Web Services/Web Design & Development,48,62.50%,30,54.17%,2.42,0:03:54,0.00%,0,$0.00
Financial Services/Banking Services,47,78.72%,37,46.81%,3.68,0:01:49,0.00%,0,$0.00
Home & Garden/Home Decor/Lights & Fixtures,47,87.23%,41,72.34%,3.17,0:02:18,0.00%,0,$0.00
Home & Garden/Home Furnishings/Bedroom,46,58.70%,27,65.22%,2.7,0:01:52,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Rent),45,73.33%,33,48.89%,3.42,0:02:14,0.00%,0,$0.00
Telecom/Internet Service Providers,44,38.64%,17,54.55%,5.02,0:05:13,0.00%,0,$0.00
Apparel & Accessories/Handbags,43,67.44%,29,72.09%,1.84,0:00:23,0.00%,0,$0.00
Event Tickets/Concert & Music Festival Tickets,43,88.37%,38,53.49%,4.28,0:02:51,0.00%,0,$0.00
Apparel & Accessories/Jewelry & Watches/Watches,38,60.53%,23,50.00%,3.61,0:02:13,0.00%,0,$0.00
Travel/Trips by Destination/Trips to Asia-Pacific,38,81.58%,31,65.79%,3.87,0:03:26,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used),37,78.38%,29,70.27%,2.76,0:03:12,0.00%,0,$0.00
Financial Services/Tax Services,37,75.68%,28,56.76%,3.86,0:02:21,0.00%,0,$0.00
Apparel & Accessories/Men's Apparel,33,72.73%,24,72.73%,2.36,0:00:40,0.00%,0,$0.00
Business Services/Business Financial Services,33,60.61%,20,45.45%,4.3,0:03:40,0.00%,0,$0.00
Consumer Electronics/Cameras,33,81.82%,27,57.58%,3.97,0:02:40,0.00%,0,$0.00
Home & Garden/Home Appliances/Small Appliances,33,63.64%,21,75.76%,2.48,0:02:16,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Rent)/Apartments (For Rent),32,71.88%,23,43.75%,3.88,0:02:46,0.00%,0,$0.00
Apparel & Accessories/Outerwear,31,70.97%,22,61.29%,3.68,0:03:08,0.00%,0,$0.00
Employment/Resumes & Portfolios,31,64.52%,20,38.71%,4.23,0:04:17,0.00%,0,$0.00
Home & Garden/Home Improvement/Tools,31,90.32%,28,61.29%,5.03,0:02:01,0.00%,0,$0.00
Computers & Peripherals/Computers/Laptops & Notebooks,30,86.67%,26,63.33%,3,0:01:01,0.00%,0,$0.00
Travel/Trips by Destination/Trips to North America,28,85.71%,24,46.43%,3.18,0:01:35,0.00%,0,$0.00
Apparel & Accessories/Lingerie,27,96.30%,26,59.26%,2.48,0:00:46,0.00%,0,$0.00
Computers & Peripherals/Computer Accessories & Components,27,77.78%,21,37.04%,3.22,0:03:54,0.00%,0,$0.00
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,27,81.48%,22,62.96%,2.74,0:01:40,0.00%,0,$0.00
Employment/Internships,27,44.44%,12,48.15%,2.7,0:04:14,0.00%,0,$0.00
Home & Garden/Home Appliances,27,74.07%,20,59.26%,2.07,0:01:16,0.00%,0,$0.00
Home & Garden/Home Furnishings/Home Office,27,55.56%,15,40.74%,3.22,0:02:10,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Rent)/Houses (For Rent),27,66.67%,18,55.56%,3.07,0:02:09,0.00%,0,$0.00
Travel/Car Rental,27,81.48%,22,62.96%,3,0:02:41,0.00%,0,$0.00
Apparel & Accessories/Shoes/Athletic Shoes,26,88.46%,23,73.08%,2.92,0:02:55,0.00%,0,$0.00
Autos & Vehicles/Auto Parts & Accessories,26,69.23%,18,69.23%,3.04,0:01:47,0.00%,0,$0.00
Financial Services/Credit & Lending,26,69.23%,18,53.85%,2.77,0:02:35,0.00%,0,$0.00
Gifts & Occasions,26,84.62%,22,73.08%,2.23,0:02:17,0.00%,0,$0.00
Autos & Vehicles/Auto Parts & Accessories/Wheels & Tires,25,76.00%,19,36.00%,7.44,0:02:54,0.00%,0,$0.00
Financial Services/Financial Planning,25,60.00%,15,64.00%,3.16,0:02:28,0.00%,0,$0.00
Home & Garden/Home Improvement/Paint,23,78.26%,18,56.52%,5.3,0:01:46,0.00%,0,$0.00
Baby & Children's Products/Baby & Children's Apparel/Children's Apparel,22,63.64%,14,63.64%,2.05,0:00:50,0.00%,0,$0.00
Baby & Children's Products/Toys & Games,22,72.73%,16,63.64%,2.77,0:03:09,0.00%,0,$0.00
Home & Garden/Home Improvement/Flooring,22,72.73%,16,50.00%,4.36,0:02:28,0.00%,0,$0.00
Travel/Hotels & Accommodations/Vacation Rentals,22,72.73%,16,50.00%,4.55,0:03:49,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Architectural Services,21,80.95%,17,47.62%,3.71,0:03:35,0.00%,0,$0.00
Consumer Electronics/Game Consoles/Sony PlayStation,20,85.00%,17,70.00%,2.9,0:01:38,0.00%,0,$0.00
Software/Antivirus & Security Software,20,80.00%,16,60.00%,2.25,0:00:54,0.00%,0,$0.00
Apparel & Accessories/Perfumes & Fragrances,19,57.89%,11,78.95%,1.89,0:00:22,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Flooring Services,19,57.89%,11,42.11%,2.84,0:02:25,0.00%,0,$0.00
Apparel & Accessories/Luggage,18,83.33%,15,66.67%,3.33,0:01:41,0.00%,0,$0.00
Consumer Electronics/Televisions,18,66.67%,12,44.44%,6.39,0:02:40,0.00%,0,$0.00
Real Estate/Residential Properties/Residential Properties (For Sale)/Apartments (For Sale)/Preowned Apartments (For Sale),18,66.67%,12,44.44%,3.83,0:03:15,0.00%,0,$0.00
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Vietnam,18,61.11%,11,66.67%,2,0:01:55,0.00%,0,$0.00
Beauty Products & Services/Skin Care Products,17,88.24%,15,58.82%,3.18,0:01:05,0.00%,0,$0.00
Business Services/Business Printing & Document Services,17,82.35%,14,52.94%,2.65,0:02:26,0.00%,0,$0.00
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,17,82.35%,14,64.71%,3.88,0:02:24,0.00%,0,$0.00
Consumer Electronics/Audio,17,82.35%,14,70.59%,3.06,0:02:04,0.00%,0,$0.00
Apparel & Accessories/Costumes,16,81.25%,13,56.25%,2.56,0:00:45,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles,16,93.75%,15,75.00%,1.62,0:01:01,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles/Motor Vehicles (New),16,68.75%,11,68.75%,2.94,0:02:00,0.00%,0,$0.00
Baby & Children's Products/Diapers & Baby Hygiene Products,16,81.25%,13,37.50%,3,0:03:41,0.00%,0,$0.00
Business Services/Office Supplies,16,81.25%,13,43.75%,4.69,0:01:42,0.00%,0,$0.00
Gifts & Occasions/Holiday & Seasonal Items/Halloween Items & Decor,16,68.75%,11,31.25%,3.31,0:02:30,0.00%,0,$0.00
Home & Garden/Home Improvement/Plumbing Fixtures,16,81.25%,13,50.00%,4.56,0:03:11,0.00%,0,$0.00
Home & Garden/Outdoor Items/Garden & Outdoor Furniture,16,56.25%,9,62.50%,2.31,0:00:53,0.00%,0,$0.00
Apparel & Accessories/Activewear,14,92.86%,13,50.00%,2.86,0:01:31,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,14,71.43%,10,64.29%,3.86,0:03:54,0.00%,0,$0.00
"Computers & Peripherals/Printers, Scanners & Faxes",14,78.57%,11,57.14%,3.29,0:01:08,0.00%,0,$0.00
Consumer Electronics/Audio/Speakers,14,64.29%,9,71.43%,6.79,0:02:15,0.00%,0,$0.00
Financial Services/Financial Planning/Retirement Planning,14,78.57%,11,50.00%,2.5,0:01:28,0.00%,0,$0.00
Sports & Fitness,14,92.86%,13,57.14%,3.21,0:01:10,0.00%,0,$0.00
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,13,100.00%,13,84.62%,2.15,0:00:27,0.00%,0,$0.00
Business Services/Advertising & Marketing Services/SEO & SEM Services,13,84.62%,11,38.46%,2.69,0:00:53,0.00%,0,$0.00
Business Services/Business Technology/Enterprise Software,13,76.92%,10,23.08%,3.92,0:06:08,0.00%,0,$0.00
Consumer Electronics/Cameras/Camera Lenses,13,84.62%,11,53.85%,5.31,0:04:50,0.00%,0,$0.00
Education/Study Abroad Programs,13,76.92%,10,46.15%,3.62,0:05:38,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Painting Services,13,92.31%,12,46.15%,7.92,0:02:31,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Pest Control,13,84.62%,11,53.85%,3,0:01:56,0.00%,0,$0.00
Software/Design Software,13,76.92%,10,46.15%,2.69,0:00:42,0.00%,0,$0.00
Sports & Fitness/Fitness Products & Services/Fitness Classes & Personal Training Services,13,100.00%,13,61.54%,4.54,0:01:39,0.00%,0,$0.00
Sports & Fitness/Sporting Goods,13,76.92%,10,38.46%,4.77,0:02:18,0.00%,0,$0.00
Telecom/Cable & Satellite TV Providers,13,84.62%,11,46.15%,5,0:01:54,0.00%,0,$0.00
Apparel & Accessories/Formal Wear/Bridal Wear,12,100.00%,12,58.33%,2.42,0:00:35,0.00%,0,$0.00
Consumer Electronics/Game Consoles/Nintendo Consoles,12,75.00%,9,66.67%,1.83,0:02:46,0.00%,0,$0.00
Employment/Temporary & Seasonal Jobs,12,75.00%,9,83.33%,1.25,0:00:10,0.00%,0,$0.00
Home & Garden/Home & Garden Services/Door & Window Installation,12,91.67%,11,41.67%,2.75,0:01:53,0.00%,0,$0.00
Sports & Fitness/Outdoor Recreational Equipment/Camping & Hiking Equipment,12,58.33%,7,50.00%,8,0:02:58,0.00%,0,$0.00
Gifts & Occasions/Photo & Video Services,11,100.00%,11,72.73%,1.64,0:00:19,0.00%,0,$0.00
Home & Garden/Home Appliances/Vacuums,11,100.00%,11,36.36%,6.55,0:02:32,0.00%,0,$0.00
Travel/Trips by Destination/Trips to Europe/Trips to Greece,10,100.00%,10,50.00%,4,0:01:22,0.00%,0,$0.00
Travel/Trips by Destination/Trips to Latin America,10,80.00%,8,60.00%,4.9,0:01:32,0.00%,0,$0.00
