Language,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
is-is,2,50.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
ja,2,50.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
ms-my,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
nb,2,100.00%,2,50.00%,2,0:01:31,0.00%,0,$0.00
ro,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
sk-sk,2,100.00%,2,0.00%,2,0:00:36,0.00%,0,$0.00
sv-se,2,100.00%,2,0.00%,4.5,0:07:12,0.00%,0,$0.00
zh-hk,2,100.00%,2,0.00%,5.5,0:03:06,0.00%,0,$0.00
bg-bg,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
ca,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
cs-cz,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
en-sg,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-ar,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-cl,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-co,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-gt,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
es-lg,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
fi,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
fr-be,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
fr-ch,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
hu,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
id-id,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
ja-jp,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
ko,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
ko-kr,1,100.00%,1,0.00%,2,0:00:11,0.00%,0,$0.00
lt,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
nl-be,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
pl-pl,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
sv,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
th-th,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
uk-ua,1,100.00%,1,0.00%,2,0:00:04,0.00%,0,$0.00
